event_id,key,scan,scan_ns,pid,category,old_members,new_members,old_representative,new_representative,old_rep_still_member,required_change,delta_d,delta_y,delta_v,abs_delta_d,abs_delta_y,abs_delta_v,old_published,new_published,old_alias,new_alias,publication_effect,publication_delta_d,publication_delta_y,publication_delta_v,publication_delta_aLead,radarstate_effect,radarstate_affected,score_delta,old_cost,new_cost,best_vision,old_vision,best_oem,old_oem,support_superiority,group_size_before,group_size_after,old_d,old_y,old_v,old_age,new_d,new_y,new_v,new_age,old_aRel,new_aRel,old_member_current_d,old_member_current_y,old_member_current_v,old_member_current_age,old_member_current_slot,old_member_current_measurement_ns,new_member_current_d,new_member_current_y,new_member_current_v,new_member_current_age,new_member_current_slot,new_member_current_measurement_ns,old_published_aLead,new_published_aLead,lead_role_before,lead_role_after,previous_rep_dwell_scans,previous_rep_dwell_s
00000269--4014745f93--7:75:1000019,00000269--4014745f93--7,75,498335948054,1000019,R1_STABLE_GROUP_REP_CHANGE,20|91,20|91,91,20,1,0,-1.25,-0.15625,0.25,1.25,0.15625,0.25,1,1,51,51,P2_PUBLISHED_COORDINATE_CHANGE,-1.2395038604736328,-0.15625,0.25,0.261390242556822,NO_DOWNSTREAM_EFFECT,0,0.41227215998231914,1.1201985799911596,0.7079264200088404,0,0,0,0,0,2,2,20.25,-3.625,-17.5,69,19.0,-3.78125,-17.25,70,N/A_NAN,N/A_NAN,17.5,-3.625,-17.25,13,0,498335948054,19.0,-3.78125,-17.25,70,30,498335948054,-0.31796685443768324,-0.05657661188086127,,,10,0.900150082
00000269--4014745f93--7:76:1000019,00000269--4014745f93--7,76,498435820491,1000019,R1_STABLE_GROUP_REP_CHANGE,20|91,20|91,20,91,1,0,-1.5,0.15625,0.0,1.5,0.15625,0.0,1,1,51,51,P2_PUBLISHED_COORDINATE_CHANGE,-1.4937763214111328,0.15625,0.0,-0.12484814074545314,NO_DOWNSTREAM_EFFECT,0,1.421875,1.7276120137697504,0.3057370137697504,0,0,0,0,0,2,2,19.0,-3.78125,-17.25,70,17.5,-3.625,-17.25,71,N/A_NAN,N/A_NAN,19.0,-3.78125,-17.25,71,30,498435820491,17.5,-3.625,-17.25,14,0,498435820491,-0.05657661188086127,-0.1814247526263144,,,1,0.0
00000269--4014745f93--7:77:1000019,00000269--4014745f93--7,77,498536040062,1000019,R1_STABLE_GROUP_REP_CHANGE,20|91,20|91,91,20,1,0,-1.0,-0.15625,0.25,1.0,0.15625,0.25,1,1,51,51,P2_PUBLISHED_COORDINATE_CHANGE,-0.9875564575195312,-0.15625,0.25,0.29997415454186127,NO_DOWNSTREAM_EFFECT,0,0.10189579116515901,1.0320314802585508,0.9301356890933918,0,0,0,0,0,2,2,17.5,-3.625,-17.25,71,16.5,-3.78125,-17.0,72,N/A_NAN,N/A_NAN,14.75,-3.65625,-17.25,15,0,498536040062,16.5,-3.78125,-17.0,72,30,498536040062,-0.1814247526263144,0.11854940191554686,,,1,0.0
00000269--4014745f93--7:80:1000019,00000269--4014745f93--7,80,498836030721,1000019,R1_STABLE_GROUP_REP_CHANGE,20|91,20|91,20,91,1,0,-2.0,0.46875,-0.5,2.0,0.46875,0.5,1,1,51,51,P2_PUBLISHED_COORDINATE_CHANGE,-2.035050392150879,0.46875,-0.5,-1.2000000000000002,NO_DOWNSTREAM_EFFECT,0,0.8125341382854172,1.6484545691427086,0.8359204308572914,0,0,0,0,0,2,2,12.0,-4.125,-16.5,74,10.0,-3.65625,-17.0,75,N/A_NAN,N/A_NAN,12.0,-4.125,-16.5,75,30,498836030721,10.0,-3.65625,-17.0,18,0,498836030721,0.8087579069504343,-0.3912420930495659,,,3,0.20008450400000002
00000269--4014745f93--7:82:1000019,00000269--4014745f93--7,82,499037701031,1000019,R2_MEMBER_DISAPPEAR_REP_CHANGE,20|91,20,91,20,0,1,-0.5,-0.46875,0.75,0.5,0.46875,0.75,1,1,51,51,P2_PUBLISHED_COORDINATE_CHANGE,-0.4811820983886719,-0.46875,0.75,1.2000000000000002,NO_DOWNSTREAM_EFFECT,0,,,,0,0,0,0,0,2,1,7.75,-3.65625,-17.0,76,7.25,-4.125,-16.25,77,N/A_NAN,N/A_NAN,,,,,,,7.25,-4.125,-16.25,77,30,499037701031,-0.8983250323755311,0.3016749676244691,,,2,0.101424094
00000269--4014745f93--7:82:1000103,00000269--4014745f93--7,82,499037701031,1000103,R1_STABLE_GROUP_REP_CHANGE,102|114,102|114,102,114,1,0,-2.5,0.15625,0.25,2.5,0.15625,0.25,1,1,50,50,P2_PUBLISHED_COORDINATE_CHANGE,-2.4943161010742188,0.15625,0.25,0.2574501595476697,NO_DOWNSTREAM_EFFECT,0,0.9375,1.9819665207226624,1.0444665207226624,0,0,0,0,0,2,2,125.75,-3.625,-16.75,13,123.25,-3.46875,-16.5,14,N/A_NAN,N/A_NAN,123.0,-2.09375,-16.5,14,11,499037701031,123.25,-3.46875,-16.5,6,20,499037701031,-0.21415243934483696,0.043297720202832735,,,13,1.2012420560000001
00000269--4014745f93--7:83:1000097,00000269--4014745f93--7,83,499147290377,1000097,R5_GROUP_MERGE_REP_CHANGE,96,96|119,96,119,1,0,-2.25,-0.40625,0.0,2.25,0.40625,0.0,1,1,82,82,P2_PUBLISHED_COORDINATE_CHANGE,-2.2791595458984375,-0.40625,0.0,-0.2980310124545461,NO_DOWNSTREAM_EFFECT,0,1.191049437714268,1.822087218857134,0.631037781142866,0,0,0,0,0,1,2,118.0,-4.375,-16.5,17,115.75,-4.78125,-16.5,18,N/A_NAN,N/A_NAN,118.0,-4.375,-16.5,18,16,499135658805,115.75,-4.78125,-16.5,3,29,499135658805,0.09532700142209127,-0.20270401103245483,,,17,1.601379013
00000269--4014745f93--7:89:1000109,00000269--4014745f93--7,89,499746627887,1000109,R1_STABLE_GROUP_REP_CHANGE,107|111|113,107|111|113,107,113,1,0,-0.25,0.5,0.0,0.25,0.5,0.0,1,1,35,35,P2_PUBLISHED_COORDINATE_CHANGE,-0.2863311767578125,0.5,0.0,-0.1288675633594838,NO_DOWNSTREAM_EFFECT,0,0.00210428150284514,1.7365366631098489,1.7344323816070037,0,0,0,0,0,3,3,52.25,3.625,-15.75,14,52.0,4.125,-15.75,15,N/A_NAN,N/A_NAN,52.25,3.625,-15.75,15,4,499735600162,52.0,4.125,-15.75,13,13,499735600162,0.2716482547599454,0.14278069140046162,,,8,0.6989931690000001
00000269--4014745f93--7:90:1000097,00000269--4014745f93--7,90,499846465159,1000097,R1_STABLE_GROUP_REP_CHANGE,96|119,96|119,119,96,1,0,-0.5,-0.1875,0.0,0.5,0.1875,0.0,1,1,82,82,P2_PUBLISHED_COORDINATE_CHANGE,-0.6528854370117188,-0.1875,0.0,-0.2717246875933987,NO_DOWNSTREAM_EFFECT,0,0.1732260582225562,1.336613029111278,1.163386970888722,0,0,0,0,0,2,2,106.25,-4.6875,-15.75,24,105.75,-4.875,-15.75,25,N/A_NAN,N/A_NAN,103.5,-4.625,-15.5,10,29,499846465159,105.75,-4.875,-15.75,25,16,499835820264,-0.08065468278880294,-0.35237937038220163,,,7,0.59933751
00000269--4014745f93--7:90:1000109,00000269--4014745f93--7,90,499846465159,1000109,R2_MEMBER_DISAPPEAR_REP_CHANGE,107|111|113,107|111,113,107,0,1,-2.5,-0.375,0.25,2.5,0.375,0.25,1,1,35,35,P2_PUBLISHED_COORDINATE_CHANGE,-2.4724273681640625,-0.375,0.25,0.18584677352270884,NO_DOWNSTREAM_EFFECT,0,,,1.2388235841171977,0,0,0,0,0,3,2,52.0,4.125,-15.75,15,49.5,3.75,-15.5,16,N/A_NAN,N/A_NAN,,,,,,,49.5,3.75,-15.5,16,4,499835820264,0.14278069140046162,0.32862746492317046,,,1,0.0
