scan,scan_ns,pid,alias,anchor_rep,published_raw,d,y,v,a,member_age_s
87,3374091080433,1000004,36,5,5,39.43976593017578,-3.84375,-2.25,-0.40450932883993485,0.026769941000000002
88,3374190219654,1000004,36,5,5,39.190120697021484,-3.78125,-2.25,-0.29105278095897,0.026612196
89,3374290501632,1000004,36,5,5,38.94199752807617,-3.9375,-2.25,-0.2535919169338504,0.025778317000000002
90,3374390673932,1000004,36,5,5,38.6942253112793,-3.9375,-2.25,-0.28572860921878684,0.024789193
91,3374490700256,1000004,36,5,5,38.44426345825195,-3.9375,-2.25,-0.25903306864449205,0.024772007000000002
92,3374589933375,1000004,36,5,5,38.445899963378906,-3.6875,-2.0,0.3316594469947677,0.027049863
93,3374690089323,1000004,36,5,5,38.19936752319336,-3.75,-2.0,0.5148159793976149,0.025316278
94,3374789839684,1000004,36,5,5,37.94786071777344,-3.8125,-2.0,0.5030068501820936,0.026068706
95,3374890725250,1000004,36,5,5,37.69523239135742,-4.0,-2.25,-0.064153768628752,0.024341319
96,3374990378953,1000004,36,5,5,37.441497802734375,-4.03125,-2.25,-0.22081311610378182,0.026000276000000003
97,3375090671555,1000004,36,5,5,37.19346237182617,-4.03125,-2.25,-0.21155522814793445,0.025128066
98,3375190349162,1000004,36,5,5,36.942291259765625,-4.0625,-2.25,-0.24357793739542363,0.025649111000000002
99,3375292165212,1000004,36,5,5,36.70333480834961,-4.0625,-2.25,-0.12393288051195303,0.020740882000000002
100,3375392281267,1000004,36,5,5,36.448238372802734,-4.03125,-2.25,-0.01158982333858874,0.023005562
101,3375490432354,1000004,36,5,5,36.44239044189453,-4.0625,-2.25,0.04674618593605504,0.025604688
102,3375590197923,1000004,36,5,5,36.18891143798828,-4.21875,-2.25,0.06338785465392113,0.027150998000000003
103,3375690543852,1000004,36,5,5,35.94280242919922,-4.125,-2.25,0.059406804678619446,0.02542132
104,3375790291974,1000004,36,5,5,35.69309616088867,-4.15625,-2.25,0.050096234951478275,0.025289874
105,3375890091393,1000004,36,5,5,35.444366455078125,-4.0,-2.25,0.07216923705406134,0.024725501
106,3375990379255,1000004,36,5,5,35.19282150268555,-3.96875,-2.25,0.0569109948087875,0.025412102000000002
107,3376091016875,1000004,36,5,5,34.94718551635742,-3.96875,-2.25,0.11070689659373481,0.023472601000000003
108,3376189898518,1000004,36,5,5,34.69385528564453,-3.96875,-2.25,0.08854140639130217,0.024952927000000003
109,3376290074776,1000004,36,5,5,34.69544219970703,-3.96875,-2.25,0.04896665065973063,0.024248255
110,3376390376699,1000004,36,5,5,34.193328857421875,-3.875,-2.25,0.06049638941378002,0.025186759000000003
111,3376490726430,1000004,36,5,5,33.94747543334961,-3.875,-2.25,0.0696210783232534,0.023343915
112,3376590097765,1000004,36,5,5,33.687721252441406,-3.75,-2.5,-0.40084383735800877,0.024912254
113,3376690167263,1000004,36,5,5,33.687469482421875,-3.875,-2.5,-0.44548849409879765,0.025011776000000003
114,3376790604277,1000004,36,5,5,33.46384048461914,-3.53125,-2.5,-0.33326990718789873,0.014463357000000001
115,3376891763202,1000004,36,5,5,33.21685791015625,-3.375,-2.5,-0.24034704767509496,0.013257535
116,3376991849052,1000004,36,5,5,32.94062042236328,-3.53125,-2.5,-0.14007153596377353,0.023752521000000002
117,3377091002178,1000004,36,5,5,32.685325622558594,-3.625,-2.5,-0.05357544835167896,0.025869299000000002
118,3377190283210,1000004,36,5,5,32.43305969238281,-3.78125,-2.5,0.016668991490638982,0.026775565
119,3377289982638,1000004,36,5,5,32.18180847167969,-3.75,-2.5,0.06965393362679964,0.027276352
120,3377389935793,1000004,36,5,5,31.68645668029785,-3.46875,-2.5,0.12014187390810509,0.025417674
121,3377490524980,1000004,36,5,5,31.688133239746094,-3.71875,-2.5,0.18198914418398737,0.024746801000000002
122,3377590074475,1000004,36,5,5,31.43695640563965,-3.65625,-2.5,0.21859657103532645,0.025217538
123,3377690935512,1000004,36,5,5,31.190837860107422,-3.8125,-2.5,0.23359864888765092,0.023665186
124,3377789964327,1000004,36,5,5,30.934879302978516,-3.78125,-2.5,0.26012864646282763,0.026048292
125,3377890531538,1000004,36,5,5,30.687999725341797,-3.8125,-2.5,0.22792145883245807,0.024800390000000002
126,3377990427927,1000004,36,5,5,30.43634605407715,-3.84375,-2.5,0.19867980203662539,0.025461733
127,3378091073984,1000004,36,5,5,30.4405460357666,-3.875,-2.5,0.20205885679758095,0.023781216
128,3378190058845,1000004,36,5,5,30.18648338317871,-3.9375,-2.5,0.19967862412602694,0.025406478000000003
129,3378290150528,1000004,36,5,5,29.68720245361328,-3.96875,-2.5,0.20908910171897072,0.025118693
130,3378391169622,1000004,36,5,5,29.438383102416992,-3.96875,-2.5,0.20359891073704,0.024646603000000003
131,3378491604345,1000004,36,5,5,29.190874099731445,-3.96875,-2.5,0.15165717500120146,0.023650709000000002
132,3378590120554,1000004,36,5,5,29.187776565551758,-3.9375,-2.5,0.14447765074657581,0.024889444
133,3378690814992,1000004,36,5,5,28.93474578857422,-3.96875,-2.5,0.0846211630568829,0.026101567000000003
134,3378789899531,1000004,36,5,5,28.68625831604004,-3.96875,-2.25,0.5683644373900405,0.028329532
