key,candidate,scans,baseline_fractures,suppressed_fractures,grouping_changed_scans,member_count_changed_scans,new_merge_objects,new_split_objects,new_merge_episodes,persistent_new_merges,publication_changed_scans,representative_changes,pid_births,relaxed_edge_scans,state_peak,cpu_mean_us,cpu_p95_us,cpu_p99_us,cpu_max_us
00000280--91181081d4--13,C_QUANTIZED,600,2,1,1,1,1,0,1,0,80,20,346,1,6,136.10498333333305,699.4100000000003,1045.3170000000002,151438.7
00000280--91181081d4--14,C_QUANTIZED,600,26,15,12,11,17,4,17,0,457,69,526,16,40,175.60944842526243,890.5,2140.0,140818.4
00000280--91181081d4--15,C_QUANTIZED,599,15,7,7,6,7,1,7,0,261,71,639,9,30,160.09866533199818,939.2699999999999,1613.2559999999999,104862.6
00000280--91181081d4--16,C_QUANTIZED,600,13,2,3,3,3,0,3,0,561,35,540,3,10,140.74069631850708,721.0199999999994,1293.2839999999997,143208.0
00000280--91181081d4--17,C_QUANTIZED,600,20,11,33,14,38,25,14,4,339,88,757,13,34,164.8223074358119,967.4049999999991,1738.627999999998,99367.0
00000280--91181081d4--18,C_QUANTIZED,600,10,5,5,4,5,1,5,0,317,14,309,8,36,123.24197098549264,643.66,951.7359999999999,105955.3
00000280--91181081d4--19,C_QUANTIZED,600,16,4,9,2,9,7,4,1,406,62,462,6,12,128.97220926357943,779.0399999999998,1211.2709999999993,4297.0
00000280--91181081d4--20,C_QUANTIZED,600,11,5,5,4,5,1,5,0,419,21,445,5,10,141.6972666666665,766.3850000000002,1122.4560000000013,124806.9
00000280--91181081d4--21,C_QUANTIZED,600,13,6,6,5,6,1,6,0,385,78,637,6,18,166.83229409803258,1016.6499999999996,1631.6009999999983,112370.6
00000280--91181081d4--22,C_QUANTIZED,600,5,2,2,2,2,0,2,0,106,22,494,2,8,116.72028671445257,609.5299999999999,1114.1179999999972,62505.0
00000280--91181081d4--23,C_QUANTIZED,600,9,4,4,4,4,0,4,0,311,51,610,5,14,134.2753333333332,805.4900000000002,1231.0030000000002,60388.4
00000280--91181081d4--24,C_QUANTIZED,600,38,12,14,12,14,2,14,0,458,150,736,17,48,174.60008338892604,1060.45,2023.77000000001,59824.4
00000280--91181081d4--25,C_QUANTIZED,600,58,23,41,30,41,24,26,3,588,129,793,36,48,186.908998500251,1075.8,2096.0,112358.2
00000280--91181081d4--29,C_QUANTIZED,599,20,11,11,11,11,1,11,0,592,63,350,13,28,145.49545000000023,845.5350000000001,1409.5120000000002,102310.9
00000280--91181081d4--30,C_QUANTIZED,599,33,11,12,8,12,4,12,0,589,244,920,15,50,261.25759293215515,1579.8499999999997,2584.235999999999,172270.5
00000280--91181081d4--31,C_QUANTIZED,600,46,11,13,10,13,4,13,0,507,168,793,13,38,164.75160806532202,1007.5,1747.1,55069.8
00000280--91181081d4--32,C_QUANTIZED,599,10,5,5,5,5,0,5,0,541,26,375,9,16,137.09384794931677,785.93,1304.0449999999971,83324.2
00000280--91181081d4--33,C_QUANTIZED,600,50,7,7,7,7,0,7,0,376,255,777,7,46,258.5608999999998,1626.8600000000001,3205.1830000000105,124696.8
00000280--91181081d4--34,C_QUANTIZED,600,15,5,5,4,5,1,5,0,438,28,385,5,20,136.82263710618435,703.7699999999996,1109.1879999999933,130247.5
00000280--91181081d4--35,C_QUANTIZED,600,34,18,21,14,23,11,19,1,532,129,637,23,38,196.13186666666627,1348.740000000001,2274.128,70157.0
00000280--91181081d4--36,C_QUANTIZED,600,19,7,7,6,7,1,7,0,324,183,790,9,46,213.13846025662352,1365.9,2161.9,146482.3
00000280--91181081d4--37,C_QUANTIZED,600,22,12,17,15,17,6,13,1,448,37,372,15,34,179.29923294980844,942.4999999999993,1844.508,152935.2
00000280--91181081d4--38,C_QUANTIZED,600,22,9,10,8,11,7,9,1,527,40,480,8,22,175.37373333333312,1121.4400000000005,1743.0120000000002,85352.8
00000280--91181081d4--39,C_QUANTIZED,600,35,19,22,20,23,3,21,1,556,70,565,25,38,176.29575070821582,1024.1,1815.7,97007.5
00000280--91181081d4--4,C_QUANTIZED,600,29,17,17,14,17,3,17,0,545,94,686,18,34,184.36298950174992,1255.8,1904.1,65701.6
00000280--91181081d4--40,C_QUANTIZED,600,20,4,5,5,5,0,5,0,361,97,594,6,50,179.6522636484686,1047.1749999999972,2310.8820000000023,54026.6
00000280--91181081d4--41,C_QUANTIZED,600,37,14,54,34,63,52,18,5,521,63,466,27,36,168.82329564349934,1026.3849999999984,1672.009,103752.1
00000280--91181081d4--42,C_QUANTIZED,600,23,15,25,12,26,13,17,2,397,43,455,17,18,143.0661981258364,886.05,1322.4,82665.0
00000280--91181081d4--43,C_QUANTIZED,600,35,11,30,27,30,23,13,1,415,61,602,24,40,161.7947150430749,1077.675,1791.4199999999996,59365.9
00000280--91181081d4--44,C_QUANTIZED,600,74,20,23,21,25,7,23,0,592,73,731,34,44,164.6183380610716,1063.1399999999999,1974.4439999999997,57009.8
00000280--91181081d4--5,C_QUANTIZED,599,36,17,18,16,18,3,18,0,537,86,763,31,34,221.14819939980006,1635.5249999999987,2202.4749999999995,97776.7
00000280--91181081d4--6,C_QUANTIZED,600,27,10,10,10,10,1,10,0,577,89,614,15,46,180.93758333333273,1064.015,2019.3270000000005,116382.0
00000280--91181081d4--7,C_QUANTIZED,600,26,7,14,7,16,9,8,1,499,118,679,8,30,161.91116666666636,1002.9150000000012,1879.0780000000018,90610.8
00000280--91181081d4--8,C_QUANTIZED,600,19,8,9,8,9,1,9,0,510,69,584,10,16,127.6017836306049,676.91,1160.9039999999975,83278.0
00000280--91181081d4--9,C_QUANTIZED,600,3,2,2,1,2,1,2,0,2,9,493,2,10,143.0364,747.3250000000008,1061.2150000000004,114364.3
00000283--b395338ef9--0,C_QUANTIZED,620,46,21,23,21,23,3,23,0,439,101,621,31,44,190.3848925513008,1160.06,2185.4919999999997,116921.7
00000283--b395338ef9--1,C_QUANTIZED,600,29,6,6,3,6,3,6,0,339,31,707,19,28,179.60443407234544,1373.849999999998,2071.513999999995,73462.9
00000283--b395338ef9--10,C_QUANTIZED,600,24,12,12,11,12,1,12,0,440,120,505,13,16,155.17313656828452,874.1199999999993,1477.252,88778.3
00000283--b395338ef9--11,C_QUANTIZED,600,6,4,4,3,4,1,4,0,324,38,403,4,10,141.1239960006668,755.7,1015.9,136238.9
00000283--b395338ef9--12,C_QUANTIZED,600,28,6,6,5,6,1,6,0,461,139,686,7,26,183.51423807935973,1084.23,2028.9529999999986,110199.0
00000283--b395338ef9--13,C_QUANTIZED,600,11,6,6,6,6,0,6,0,311,28,569,6,14,164.56373333333306,923.0000000000003,1729.7030000000002,103356.3
00000283--b395338ef9--14,C_QUANTIZED,600,6,2,3,3,3,0,3,0,182,25,624,3,8,146.80741543076175,846.1,1147.1,106960.7
00000283--b395338ef9--15,C_QUANTIZED,600,10,4,4,4,4,0,4,0,267,29,444,4,6,150.56566094349085,831.179999999999,1171.9299999999994,135089.3
00000283--b395338ef9--16,C_QUANTIZED,600,13,4,4,4,4,0,4,0,144,11,354,5,8,134.70526578903483,581.5,1737.6,104543.5
00000283--b395338ef9--17,C_QUANTIZED,599,8,4,4,4,4,0,4,0,327,34,506,4,12,141.02166666666665,818.9650000000001,1247.3150000000003,103400.8
00000283--b395338ef9--18,C_QUANTIZED,599,3,1,1,1,1,0,1,0,376,32,436,3,14,147.25968656218683,760.8449999999999,1235.8889999999985,142887.0
00000283--b395338ef9--19,C_QUANTIZED,600,8,2,2,2,2,0,2,0,116,38,425,2,12,143.35794470353034,795.1549999999999,1085.8790000000001,132726.9
00000283--b395338ef9--2,C_QUANTIZED,600,28,8,8,7,8,1,8,0,437,36,728,14,38,225.74388333333323,1606.61,2234.6480000000006,95890.8
00000283--b395338ef9--20,C_QUANTIZED,599,20,12,12,7,12,5,12,0,417,53,472,16,32,144.63807461692204,751.4249999999997,1185.6410000000012,124915.0
00000283--b395338ef9--21,C_QUANTIZED,600,6,2,2,1,2,1,2,0,20,46,453,2,10,131.90686209193902,678.4849999999999,1058.1,126146.1
00000283--b395338ef9--22,C_QUANTIZED,600,20,15,15,10,15,5,15,0,510,36,389,22,24,112.2932011331444,612.5,1151.7,3021.5
00000283--b395338ef9--23,C_QUANTIZED,599,23,11,11,11,11,1,11,0,337,81,427,13,24,112.94258333333326,615.9300000000001,1067.2300000000007,49930.7
00000283--b395338ef9--24,C_QUANTIZED,599,15,9,10,10,10,2,10,0,355,154,573,10,28,146.46743876020653,818.0,1290.2,112596.2
00000283--b395338ef9--25,C_QUANTIZED,600,43,22,43,32,61,30,24,2,394,135,651,29,42,153.0848166666668,926.1750000000003,1782.402000000002,54128.3
00000283--b395338ef9--26,C_QUANTIZED,600,39,18,21,19,22,7,20,1,521,127,826,24,46,207.01093333333264,1281.2550000000003,2675.5910000000063,166113.5
00000283--b395338ef9--27,C_QUANTIZED,600,36,11,12,11,12,1,12,0,590,93,666,17,26,170.67256414556485,1070.9999999999995,2043.2220000000016,78927.1
00000283--b395338ef9--28,C_QUANTIZED,600,10,5,5,4,5,1,5,0,391,107,494,7,18,130.54889148191356,759.2099999999989,1325.083999999998,50023.0
00000283--b395338ef9--29,C_QUANTIZED,600,10,7,7,7,7,0,7,0,138,45,442,8,14,157.17011972065228,883.7749999999986,1193.5159999999992,143520.3
00000283--b395338ef9--3,C_QUANTIZED,600,19,4,4,4,4,0,4,0,181,56,416,5,26,156.26931666666658,866.5550000000002,1611.047000000001,145861.7
00000283--b395338ef9--30,C_QUANTIZED,600,31,15,14,12,15,2,15,0,588,54,531,17,24,155.15005840146833,929.3399999999992,1523.9199999999998,83084.2
00000283--b395338ef9--31,C_QUANTIZED,600,50,11,20,17,20,9,12,2,473,127,607,16,20,161.42519973368815,824.6999999999994,1725.765,153978.9
00000283--b395338ef9--32,C_QUANTIZED,600,57,34,27,18,35,18,35,0,584,104,528,41,40,150.5964517741129,780.0499999999995,2077.3619999999664,86061.0
00000283--b395338ef9--33,C_QUANTIZED,600,4,1,1,1,1,0,1,0,34,14,353,2,6,122.68914819136475,641.2299999999999,916.0059999999999,80327.7
00000283--b395338ef9--34,C_QUANTIZED,600,4,4,4,3,4,1,4,0,60,13,456,4,8,151.69751625270857,830.8599999999996,1300.711999999995,101383.9
00000283--b395338ef9--35,C_QUANTIZED,600,4,3,3,3,3,0,3,0,363,3,432,3,4,141.1020180120079,794.8,1034.7300000000014,98601.3
00000283--b395338ef9--36,C_QUANTIZED,600,31,17,17,17,17,0,17,0,367,51,481,17,12,128.16614974153725,607.2599999999996,1391.8,60561.1
00000283--b395338ef9--37,C_QUANTIZED,600,17,10,10,10,10,0,10,0,427,47,614,10,16,135.50660455830965,862.0999999999999,1234.9199999999992,57802.2
00000283--b395338ef9--38,C_QUANTIZED,600,18,1,1,1,1,0,1,0,356,84,592,3,16,167.83016824920938,931.6799999999988,1829.8459999999989,69055.8
00000283--b395338ef9--39,C_QUANTIZED,600,3,1,2,2,2,0,2,0,298,22,451,2,8,119.51491169610121,638.7599999999998,995.4479999999988,105394.6
00000283--b395338ef9--4,C_QUANTIZED,600,4,4,4,3,4,1,4,0,4,0,113,4,4,109.45699999999991,602.7050000000002,809.2160000000003,53714.3
00000283--b395338ef9--40,C_QUANTIZED,600,0,0,0,0,0,0,0,0,0,11,533,1,10,156.49540229885025,890.1599999999999,1397.7719999999995,101831.7
00000283--b395338ef9--41,C_QUANTIZED,600,12,1,1,0,1,1,1,0,1,37,436,1,22,133.69213333333386,690.1150000000001,1558.9540000000031,78825.8
00000283--b395338ef9--42,C_QUANTIZED,600,3,0,0,0,0,0,0,0,0,8,256,0,6,127.13720426524492,676.9549999999998,882.1929999999999,113977.3
00000283--b395338ef9--43,C_QUANTIZED,600,12,7,6,5,7,2,7,0,56,59,435,7,16,125.21442852382559,668.2949999999998,1306.508999999998,97043.3
00000283--b395338ef9--44,C_QUANTIZED,600,27,8,13,7,13,6,8,1,63,171,543,15,54,195.30319999999938,1000.905,2755.8820000000082,90282.9
00000283--b395338ef9--45,C_QUANTIZED,599,29,14,22,12,22,10,14,1,523,107,645,19,46,200.75424095983888,1301.1,2052.0,121741.8
00000283--b395338ef9--46,C_QUANTIZED,600,10,6,26,26,26,20,7,1,337,10,144,11,34,173.41216058637414,1186.5399999999997,1511.9399999999987,74212.0
00000283--b395338ef9--47,C_QUANTIZED,599,52,9,21,15,27,15,14,2,395,63,626,24,44,169.9768205299116,962.4,1956.7,78882.7
00000283--b395338ef9--48,C_QUANTIZED,599,36,17,21,15,23,7,19,2,586,40,346,29,48,125.37157614128604,568.8849999999999,1264.177999999995,110339.0
