family_id,key,route,segment,raw_pair,parent_member_sets,split_count,rejoin_count,median_split_interval_s,max_split_interval_s,median_rejoin_latency_s,pid_births,representative_retained,boundary_causes,publication_visible,internal_only
0000026b--4dfb361eee--1:185|315,0000026b--4dfb361eee--1,0000026b,1,185|315,185|315,2,2,1.299016404,1.299016404,0.1005076515,2,2,"{""DISTANCE_GROWTH"":1,""LATERAL_GROWTH"":1}",2,0
0000026b--4dfb361eee--1:186|274,0000026b--4dfb361eee--1,0000026b,1,186|274,186|274,2,1,1.000038905,1.000038905,0.900451653,2,2,"{""LATERAL_DIAMETER"":2}",2,0
0000026b--4dfb361eee--1:198|217,0000026b--4dfb361eee--1,0000026b,1,198|217,198|217,4,4,1.10075885,2.401391648,0.300191946,4,4,"{""LATERAL_DIAMETER"":1,""LATERAL_GROWTH"":3}",4,0
0000026b--4dfb361eee--1:20|57,0000026b--4dfb361eee--1,0000026b,1,20|57,20|57;20|57|87,3,2,2.1505564955,3.60040527,1.7503054095000001,3,3,"{""LATERAL_DIAMETER"":3}",3,0
0000026b--4dfb361eee--1:233|257,0000026b--4dfb361eee--1,0000026b,1,233|257,233|257,2,2,3.29922267,3.29922267,0.2000378205,2,2,"{""LATERAL_GROWTH"":2}",2,0
0000026b--4dfb361eee--1:241|258,0000026b--4dfb361eee--1,0000026b,1,241|258,241|244|258;241|258,3,3,2.6002057655,4.102946361,0.50126901,3,3,"{""LATERAL_GROWTH"":3}",3,0
0000026b--4dfb361eee--1:24|57,0000026b--4dfb361eee--1,0000026b,1,24|57,24|57,2,1,5.000481874,5.000481874,4.899984349,1,2,"{""DISTANCE_DIAMETER"":2}",2,0
0000026b--4dfb361eee--1:281|289,0000026b--4dfb361eee--1,0000026b,1,281|289,281|289,2,2,0.299316515,0.299316515,1.000097866,2,2,"{""LATERAL_GROWTH"":2}",2,0
0000026b--4dfb361eee--1:387|388,0000026b--4dfb361eee--1,0000026b,1,387|388,387|388,2,2,0.599890711,0.599890711,0.3005358225,2,2,"{""LATERAL_GROWTH"":2}",2,0
0000026b--4dfb361eee--1:403|408,0000026b--4dfb361eee--1,0000026b,1,403|408,403|408;403|408|414,2,1,1.399641365,1.399641365,1.000139706,1,2,"{""DISTANCE_DIAMETER"":2}",2,0
0000026b--4dfb361eee--1:8|31,0000026b--4dfb361eee--1,0000026b,1,8|31,8|31;8|31|32,4,2,2.802723,6.900651273,1.249704575,4,4,"{""LATERAL_DIAMETER"":3,""LATERAL_GROWTH"":1}",4,0
0000026b--4dfb361eee--10:140|144,0000026b--4dfb361eee--10,0000026b,10,140|144,140|144,2,2,0.701383642,0.701383642,0.34955515849999996,2,2,"{""LATERAL_DIAMETER"":2}",2,0
0000026b--4dfb361eee--10:150|170,0000026b--4dfb361eee--10,0000026b,10,150|170,150|170,3,2,0.8503231904999999,1.200023068,0.350529676,3,3,"{""DISTANCE_DIAMETER"":3}",3,0
0000026b--4dfb361eee--10:172|174,0000026b--4dfb361eee--10,0000026b,10,172|174,172|174;172|174|178,4,3,2.000244414,4.600337769,1.200147449,4,3,"{""LATERAL_DIAMETER"":2,""LATERAL_GROWTH"":2}",4,0
0000026b--4dfb361eee--10:174|178,0000026b--4dfb361eee--10,0000026b,10,174|178,174|178,3,3,1.3499818365,2.09889789,1.099211548,3,3,"{""LATERAL_DIAMETER"":3}",3,0
0000026b--4dfb361eee--10:200|227,0000026b--4dfb361eee--10,0000026b,10,200|227,200|227,5,4,1.3498312345,2.700612615,0.550572659,5,5,"{""DISTANCE_DIAMETER"":1,""LATERAL_DIAMETER"":4}",5,0
0000026b--4dfb361eee--10:283|300,0000026b--4dfb361eee--10,0000026b,10,283|300,283|297|300;283|300,2,0,2.400679086,2.400679086,,2,2,"{""DISTANCE_DIAMETER"":2}",2,0
0000026b--4dfb361eee--10:352|374,0000026b--4dfb361eee--10,0000026b,10,352|374,352|374,3,3,1.3507382424999999,1.49983732,0.298525808,3,3,"{""DISTANCE_DIAMETER"":2,""LATERAL_GROWTH"":1}",3,0
