key,policy,pid,pattern,start_scan,end_scan,duration_s,stable_members
00000247--b657952782--24,P0,1000024,A_B_A,38,42,0.40014939800000004,1
00000247--b657952782--24,P0,1000048,A_B_A,43,45,0.200472482,1
00000247--b657952782--24,P0,1000061,A_B_A,43,45,0.200472482,1
00000247--b657952782--24,P0,1000191,A_B_A,153,158,0.49975256,1
00000247--b657952782--24,P0,1000547,A_B_A,501,506,0.50019038,1
00000247--b657952782--24,P0,1000547,A_B_A,505,509,0.39980054400000004,1
00000247--b657952782--24,P0,1000666,A_B_A,577,579,0.19981142100000002,1
00000247--b657952782--24,P0,1000666,A_B_A,578,581,0.299845537,1
00000247--b657952782--24,P0,1000666,A_B_A,580,582,0.20022608700000002,1
00000247--b657952782--24,P0,1000666,A_B_A,581,584,0.300928652,1
00000247--b657952782--24,P0,1000666,A_B_A,583,585,0.199136223,1
00000247--b657952782--24,P0,1000620,A_B_A,571,589,1.7998104300000002,1
00000247--b657952782--24,P0,1000620,A_B_A,588,591,0.30186580100000004,1
00000247--b657952782--24,P0,1000641,A_B_A,577,582,0.499675754,1
00000247--b657952782--24,P0,1000641,A_B_A,581,584,0.300928652,1
00000247--b657952782--24,P0,1000641,A_B_A,583,589,0.599169383,1
00000247--b657952782--25,P0,1000004,A_B_A,5,7,0.20184088,1
00000247--b657952782--25,P0,1000004,A_B_A,6,11,0.497467347,1
00000247--b657952782--25,P0,1000004,A_B_A,10,12,0.200227397,1
00000247--b657952782--25,P0,1000015,A_B_A,5,7,0.20184088,1
00000247--b657952782--25,P0,1000015,A_B_A,6,11,0.497467347,1
00000247--b657952782--25,P0,1000015,A_B_A,10,12,0.200227397,1
00000247--b657952782--25,P0,1000016,A_B_A,5,7,0.20184088,1
00000247--b657952782--25,P0,1000016,A_B_A,6,11,0.497467347,1
00000247--b657952782--25,P0,1000016,A_B_A,10,12,0.200227397,1
00000247--b657952782--25,P0,1000030,A_B_A,28,30,0.20000008900000002,1
00000247--b657952782--25,P0,1000045,A_B_A,18,32,1.399335878,1
00000247--b657952782--25,P0,1000052,A_B_A,23,25,0.200800058,1
