key,policy,scans,baseline_rep_changes,candidate_rep_changes,suppressed_transitions,suppressed_pingpong_returns,grouping_mismatch,pid_mismatch,member_mismatch,stale_representative,publication_changed_scans,legacy_p1_publication_changed_scans,publication_set_changed_scans,alias_changed_scans,aLead_changed_scans,radarstate_changed_scans,planner_input_changed_scans,lead_coordinate_only,lead_id_changed,lead_gain,lead_loss,lead1_lead2_change,lead_aLead_changed,state_peak,cutin_delay_ms,cutin_target_coordinate_changed_scans,route2bc_window_scans,route2bc_window_regression_scans,route2bc_window_rep_changes,p0_publication_duration_delta_scans
0000026d--2363789071--92,E,600,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
0000026d--2363789071--93,E,600,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
0000026d--2363789071--94,E,600,26,24,5,2,0,0,0,0,21,21,0,0,32,0,0,0,0,0,0,0,0,0,,,,,,
0000026d--2363789071--95,E,600,132,118,18,11,0,0,0,0,38,38,0,0,149,0,0,0,0,0,0,0,0,0,,,,,,
0000026d--2363789071--96,E,600,103,70,33,22,0,0,0,0,36,36,0,0,224,0,0,0,0,0,0,0,0,0,,,,,,
0000026d--2363789071--97,E,600,30,26,5,2,0,0,0,0,25,25,0,0,52,0,0,0,0,0,0,0,0,0,,,,,,
0000026d--2363789071--98,E,600,200,170,39,26,0,8,8,0,103,103,8,37,167,0,0,0,0,0,0,0,0,0,,,,,,
0000026d--2363789071--99,E,600,59,52,8,2,0,74,74,0,223,223,67,153,136,0,0,0,0,0,0,0,0,0,,,,,,
00000273--d384c0a41a--0,E,618,13,13,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
00000273--d384c0a41a--1,E,600,38,28,13,8,0,7,7,0,22,22,3,3,51,0,0,0,0,0,0,0,0,0,,,,,,
00000273--d384c0a41a--10,E,599,3,1,2,1,0,0,0,0,2,2,0,0,16,0,0,0,0,0,0,0,0,0,,,,,,
00000273--d384c0a41a--11,E,600,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
00000273--d384c0a41a--12,E,600,7,5,2,1,0,0,0,0,1,1,0,0,8,0,0,0,0,0,0,0,0,0,,,,,,
00000273--d384c0a41a--13,E,600,46,38,9,8,0,0,0,0,12,12,0,0,34,0,0,0,0,0,0,0,0,0,,,,,,
00000273--d384c0a41a--14,E,600,11,11,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
00000273--d384c0a41a--15,E,600,25,21,6,5,0,0,0,0,7,7,0,0,36,0,0,0,0,0,0,0,0,0,,,,,,
00000273--d384c0a41a--16,E,600,17,17,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
00000273--d384c0a41a--17,E,600,37,33,6,3,0,0,0,0,10,10,0,0,36,0,0,0,0,0,0,0,0,0,,,,,,
00000273--d384c0a41a--18,E,600,12,10,2,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
00000273--d384c0a41a--19,E,600,32,29,4,2,0,0,0,0,17,17,0,0,23,0,0,0,0,0,0,0,0,0,,,,,,
00000273--d384c0a41a--2,E,600,8,6,2,1,0,13,13,0,156,156,13,147,5,0,0,0,0,0,0,0,0,0,,,,,,
00000273--d384c0a41a--20,E,600,27,25,4,2,0,0,0,0,9,9,0,0,5,0,0,0,0,0,0,0,0,0,,,,,,
00000273--d384c0a41a--21,E,600,39,36,5,2,0,0,0,0,11,11,0,0,41,0,0,0,0,0,0,0,0,0,,,,,,
00000273--d384c0a41a--22,E,600,49,41,10,3,0,54,54,0,189,189,45,170,58,0,0,0,0,0,0,0,0,0,,,,,,
00000273--d384c0a41a--23,E,600,26,23,4,1,0,0,0,0,3,3,0,0,18,0,0,0,0,0,0,0,0,0,,,,,,
00000273--d384c0a41a--24,E,600,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
00000273--d384c0a41a--25,E,600,11,7,4,2,0,1,1,0,16,16,0,0,138,0,0,0,0,0,0,0,0,0,,,,,,
00000273--d384c0a41a--26,E,599,76,63,15,10,0,0,0,0,12,12,0,0,53,0,0,0,0,0,0,0,0,0,,,,,,
00000273--d384c0a41a--27,E,599,68,52,17,10,0,0,0,0,18,18,0,0,122,0,0,0,0,0,0,0,0,0,,,,,,
00000273--d384c0a41a--28,E,599,51,40,12,6,0,0,0,0,13,13,0,0,28,0,0,0,0,0,0,0,0,0,,,,,,
00000273--d384c0a41a--29,E,599,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
00000273--d384c0a41a--3,E,599,15,11,5,2,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
00000273--d384c0a41a--30,E,600,9,7,3,2,0,0,0,0,3,3,0,0,29,0,0,0,0,0,0,0,0,0,,,,,,
00000273--d384c0a41a--31,E,600,54,52,4,3,0,0,0,0,5,5,0,0,4,0,0,0,0,0,0,0,0,0,,,,,,
00000273--d384c0a41a--32,E,599,47,39,9,6,0,0,0,0,11,11,0,0,94,0,0,0,0,0,0,0,0,0,,,,,,
00000273--d384c0a41a--33,E,600,22,20,3,1,0,0,0,0,6,6,0,0,18,0,0,0,0,0,0,0,0,0,,,,,,
00000273--d384c0a41a--34,E,599,15,15,1,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
00000273--d384c0a41a--35,E,600,54,47,12,7,0,31,31,0,415,415,1,382,32,124,124,0,124,0,0,0,0,0,,,,,,
00000273--d384c0a41a--36,E,600,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
00000273--d384c0a41a--37,E,600,59,57,3,3,0,0,0,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,,,,,,
00000273--d384c0a41a--38,E,600,44,39,6,4,0,9,9,0,17,17,7,7,23,0,0,0,0,0,0,0,0,0,,,,,,
00000273--d384c0a41a--39,E,600,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
00000273--d384c0a41a--4,E,599,15,13,2,1,0,7,7,0,10,10,1,1,41,0,0,0,0,0,0,0,0,0,,,,,,
00000273--d384c0a41a--40,E,600,21,19,2,1,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,,,,,,
00000273--d384c0a41a--41,E,600,25,20,5,4,0,0,0,0,11,11,0,0,45,0,0,0,0,0,0,0,0,0,,,,,,
00000273--d384c0a41a--42,E,561,39,36,3,2,0,0,0,0,7,7,0,0,14,0,0,0,0,0,0,0,0,0,,,,,,
00000273--d384c0a41a--5,E,600,72,64,11,8,0,0,0,0,16,16,0,0,42,0,0,0,0,0,0,0,0,0,,,,,,
00000273--d384c0a41a--6,E,600,8,6,2,1,0,0,0,0,6,6,0,0,25,0,0,0,0,0,0,0,0,0,,,,,,
00000273--d384c0a41a--7,E,599,22,20,2,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
00000273--d384c0a41a--8,E,599,60,57,5,3,0,13,13,0,144,144,10,135,40,0,0,0,0,0,0,0,0,0,,,,,,
00000273--d384c0a41a--9,E,600,23,19,5,2,0,0,0,0,11,11,0,0,16,0,0,0,0,0,0,0,0,0,,,,,,
00000274--d3bbe6ddcd--19,E,599,52,41,13,9,0,0,0,0,21,21,0,0,7,0,0,0,0,0,0,0,0,0,,,,,,
00000274--d3bbe6ddcd--33,E,600,9,9,2,1,0,0,0,0,10,10,0,0,16,0,0,0,0,0,0,0,0,0,,,,,,
00000274--d3bbe6ddcd--34,E,600,36,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
0000027f--cb2a133365--10,E,600,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
0000027f--cb2a133365--11,E,600,124,108,18,9,0,61,61,0,145,145,55,112,212,0,0,0,0,0,0,0,0,0,,,,,,
0000027f--cb2a133365--12,E,600,38,26,16,9,0,410,410,0,475,475,408,417,147,0,0,0,0,0,0,0,0,0,,,,,,
0000027f--cb2a133365--13,E,600,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
0000027f--cb2a133365--14,E,600,50,46,5,2,0,0,0,0,12,12,0,0,47,0,0,0,0,0,0,0,0,0,,,,,,
0000027f--cb2a133365--15,E,600,25,19,8,5,0,0,0,0,39,39,0,0,57,0,0,0,0,0,0,0,0,0,,,,,,
0000027f--cb2a133365--16,E,600,105,86,19,13,0,25,25,0,352,352,23,342,60,0,0,0,0,0,0,0,0,0,,,,,,
0000027f--cb2a133365--17,E,600,10,5,5,2,0,0,0,0,9,9,0,0,7,0,0,0,0,0,0,0,0,0,,,,,,
0000027f--cb2a133365--18,E,600,61,47,16,10,0,0,0,0,36,36,0,0,98,6,6,0,0,0,0,0,6,0,,,,,,
0000027f--cb2a133365--19,E,600,48,44,4,1,0,63,63,0,452,452,54,440,0,0,0,0,0,0,0,0,0,0,,,,,,
0000027f--cb2a133365--2,E,599,26,23,5,1,0,0,0,0,25,25,0,0,41,0,0,0,0,0,0,0,0,0,,,,,,
0000027f--cb2a133365--20,E,600,112,82,35,22,0,0,0,0,36,36,0,0,127,0,0,0,0,0,0,0,0,0,,,,,,
0000027f--cb2a133365--21,E,600,109,84,31,19,0,29,29,0,395,395,17,338,295,0,0,0,0,0,0,0,0,0,,,,,,
0000027f--cb2a133365--22,E,599,57,48,11,6,0,104,104,0,399,399,85,368,117,0,0,0,0,0,0,0,0,0,,,,,,
0000027f--cb2a133365--23,E,600,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
0000027f--cb2a133365--24,E,599,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
0000027f--cb2a133365--25,E,599,78,72,12,4,0,0,0,0,49,49,0,0,89,0,0,0,0,0,0,0,0,0,,,,,,
0000027f--cb2a133365--26,E,600,44,40,5,2,0,5,5,0,60,60,0,0,64,0,0,0,0,0,0,0,0,0,,,,,,
0000027f--cb2a133365--27,E,599,27,18,10,6,0,0,0,0,15,15,0,0,35,0,0,0,0,0,0,0,0,0,,,,,,
0000027f--cb2a133365--3,E,600,13,12,1,0,0,12,12,0,24,24,9,19,3,0,0,0,0,0,0,0,0,0,,,,,,
0000027f--cb2a133365--4,E,600,35,33,3,0,0,3,3,0,86,86,1,73,47,0,0,0,0,0,0,0,0,0,,,,,,
0000027f--cb2a133365--5,E,600,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
0000027f--cb2a133365--6,E,600,86,75,21,10,0,27,27,0,167,167,10,137,146,0,0,0,0,0,0,0,0,0,,,,,,
0000027f--cb2a133365--7,E,600,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
0000027f--cb2a133365--8,E,600,152,142,13,6,0,0,0,0,21,21,0,0,111,0,0,0,0,0,0,0,0,0,,,,,,
0000027f--cb2a133365--9,E,600,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
00000280--91181081d4--10,E,600,72,68,6,5,0,0,0,0,4,4,0,0,22,0,0,0,0,0,0,0,0,0,,,,,,
00000280--91181081d4--11,E,600,75,62,18,11,0,24,24,0,178,178,5,136,105,0,0,0,0,0,0,0,0,0,,,,,,
00000280--91181081d4--12,E,600,28,24,4,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
00000280--91181081d4--13,E,600,20,12,9,7,0,0,0,0,7,7,0,0,13,0,0,0,0,0,0,0,0,0,,,,,,
00000280--91181081d4--14,E,600,68,60,8,1,0,38,38,0,189,189,19,166,24,0,0,0,0,0,0,0,0,0,,,,,,
00000280--91181081d4--15,E,599,71,65,7,7,0,0,0,0,14,14,0,0,52,0,0,0,0,0,0,0,0,0,0.0,0,,,,
00000280--91181081d4--16,E,600,35,35,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
00000280--91181081d4--17,E,600,87,80,13,4,0,4,4,0,155,155,4,121,55,0,0,0,0,0,0,0,0,0,,,,,,
00000280--91181081d4--18,E,600,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
00000280--91181081d4--19,E,600,66,58,12,4,0,55,55,0,184,184,43,167,14,0,0,0,0,0,0,0,0,0,,,,,,
00000280--91181081d4--20,E,600,21,17,5,2,0,0,0,0,13,13,0,0,40,0,0,0,0,0,0,0,0,0,,,,,,
00000280--91181081d4--21,E,600,75,69,11,7,0,7,7,0,16,29,0,0,476,476,476,0,7,0,0,0,469,0,,,,,,
