key,policy,scans,aLead_changed_scans,lead_aLead_changed
00000254--0ac259250e--23,E2,600,123,0
00000254--0ac259250e--23,E3,600,123,0
00000254--0ac259250e--23,E4,600,0,0
00000254--0ac259250e--23,E5,600,343,0
00000254--0ac259250e--24,E,600,153,0
00000254--0ac259250e--24,E1,600,0,0
00000254--0ac259250e--24,E2,600,146,0
00000254--0ac259250e--24,E3,600,146,0
00000254--0ac259250e--24,E4,600,0,0
00000254--0ac259250e--24,E5,600,497,6
00000254--0ac259250e--25,E,600,360,0
00000254--0ac259250e--25,E1,600,0,0
00000254--0ac259250e--25,E2,600,355,0
00000254--0ac259250e--25,E3,600,355,0
00000254--0ac259250e--25,E4,600,0,0
00000254--0ac259250e--25,E5,600,518,0
00000254--0ac259250e--26,E,600,111,0
00000254--0ac259250e--26,E1,600,9,0
00000254--0ac259250e--26,E2,600,109,0
00000254--0ac259250e--26,E3,600,109,0
00000254--0ac259250e--26,E4,600,1,0
00000254--0ac259250e--26,E5,600,386,0
00000254--0ac259250e--27,E,600,0,0
00000254--0ac259250e--27,E1,600,0,0
00000254--0ac259250e--27,E2,600,0,0
00000254--0ac259250e--27,E3,600,0,0
00000254--0ac259250e--27,E4,600,0,0
00000254--0ac259250e--27,E5,600,329,0
00000254--0ac259250e--28,E,600,60,0
00000254--0ac259250e--28,E1,600,0,0
00000254--0ac259250e--28,E2,600,0,0
00000254--0ac259250e--28,E3,600,0,0
00000254--0ac259250e--28,E4,600,0,0
00000254--0ac259250e--28,E5,600,380,0
00000254--0ac259250e--29,E,600,128,0
00000254--0ac259250e--29,E1,600,33,0
00000254--0ac259250e--29,E2,600,117,0
00000254--0ac259250e--29,E3,600,117,0
00000254--0ac259250e--29,E4,600,43,0
00000254--0ac259250e--29,E5,600,500,0
00000254--0ac259250e--3,E,599,110,0
00000254--0ac259250e--3,E1,599,0,0
00000254--0ac259250e--3,E2,599,110,0
00000254--0ac259250e--3,E3,599,110,0
00000254--0ac259250e--3,E4,599,16,0
00000254--0ac259250e--3,E5,599,365,0
00000254--0ac259250e--30,E,599,189,0
00000254--0ac259250e--30,E1,599,15,0
00000254--0ac259250e--30,E2,599,189,0
00000254--0ac259250e--30,E3,599,189,0
00000254--0ac259250e--30,E4,599,17,0
00000254--0ac259250e--30,E5,599,329,0
00000254--0ac259250e--31,E,600,0,0
00000254--0ac259250e--31,E1,600,0,0
00000254--0ac259250e--31,E2,600,0,0
00000254--0ac259250e--31,E3,600,0,0
00000254--0ac259250e--31,E4,600,0,0
00000254--0ac259250e--31,E5,600,193,0
00000254--0ac259250e--32,E,600,0,0
00000254--0ac259250e--32,E1,600,0,0
00000254--0ac259250e--32,E2,600,0,0
00000254--0ac259250e--32,E3,600,0,0
00000254--0ac259250e--32,E4,600,0,0
00000254--0ac259250e--32,E5,600,105,0
00000254--0ac259250e--33,E,600,68,0
00000254--0ac259250e--33,E1,600,0,0
00000254--0ac259250e--33,E2,600,59,0
00000254--0ac259250e--33,E3,600,59,0
00000254--0ac259250e--33,E4,600,0,0
00000254--0ac259250e--33,E5,600,305,0
00000254--0ac259250e--34,E,600,115,0
00000254--0ac259250e--34,E1,600,32,0
00000254--0ac259250e--34,E2,600,109,0
00000254--0ac259250e--34,E3,600,109,0
00000254--0ac259250e--34,E4,600,0,0
00000254--0ac259250e--34,E5,600,400,0
00000254--0ac259250e--35,E,600,5,0
00000254--0ac259250e--35,E1,600,0,0
00000254--0ac259250e--35,E2,600,5,0
00000254--0ac259250e--35,E3,600,5,0
00000254--0ac259250e--35,E4,600,0,0
00000254--0ac259250e--35,E5,600,342,6
00000254--0ac259250e--36,E,600,99,0
00000254--0ac259250e--36,E1,600,0,0
00000254--0ac259250e--36,E2,600,99,0
00000254--0ac259250e--36,E3,600,99,0
00000254--0ac259250e--36,E4,600,99,0
00000254--0ac259250e--36,E5,600,173,0
00000254--0ac259250e--37,E,600,16,0
00000254--0ac259250e--37,E1,600,3,0
00000254--0ac259250e--37,E2,600,11,0
00000254--0ac259250e--37,E3,600,11,0
00000254--0ac259250e--37,E4,600,5,0
00000254--0ac259250e--37,E5,600,490,1
00000254--0ac259250e--38,E,600,4,0
00000254--0ac259250e--38,E1,600,0,0
00000254--0ac259250e--38,E2,600,0,0
00000254--0ac259250e--38,E3,600,0,0
00000254--0ac259250e--38,E4,600,0,0
00000254--0ac259250e--38,E5,600,558,0
00000254--0ac259250e--39,E,600,0,0
00000254--0ac259250e--39,E1,600,0,0
00000254--0ac259250e--39,E2,600,0,0
00000254--0ac259250e--39,E3,600,0,0
00000254--0ac259250e--39,E4,600,0,0
00000254--0ac259250e--39,E5,600,282,149
00000254--0ac259250e--4,E,600,29,0
00000254--0ac259250e--4,E1,600,0,0
00000254--0ac259250e--4,E2,600,24,0
00000254--0ac259250e--4,E3,600,24,0
00000254--0ac259250e--4,E4,600,0,0
00000254--0ac259250e--4,E5,600,150,0
00000254--0ac259250e--40,E,600,43,0
00000254--0ac259250e--40,E1,600,0,0
00000254--0ac259250e--40,E2,600,43,0
00000254--0ac259250e--40,E3,600,43,0
00000254--0ac259250e--40,E4,600,9,0
00000254--0ac259250e--40,E5,600,435,44
00000254--0ac259250e--41,E,600,63,1
00000254--0ac259250e--41,E1,600,7,0
00000254--0ac259250e--41,E2,600,63,1
00000254--0ac259250e--41,E3,600,63,1
00000254--0ac259250e--41,E4,600,7,0
00000254--0ac259250e--41,E5,600,361,9
00000254--0ac259250e--42,E,152,0,0
00000254--0ac259250e--42,E1,152,0,0
00000254--0ac259250e--42,E2,152,0,0
00000254--0ac259250e--42,E3,152,0,0
00000254--0ac259250e--42,E4,152,0,0
00000254--0ac259250e--42,E5,152,124,44
00000254--0ac259250e--5,E,599,101,0
00000254--0ac259250e--5,E1,599,22,0
00000254--0ac259250e--5,E2,599,101,0
00000254--0ac259250e--5,E3,599,101,0
00000254--0ac259250e--5,E4,599,29,0
00000254--0ac259250e--5,E5,599,432,165
00000254--0ac259250e--6,E,599,120,0
00000254--0ac259250e--6,E1,599,112,0
00000254--0ac259250e--6,E2,599,120,0
00000254--0ac259250e--6,E3,599,120,0
00000254--0ac259250e--6,E4,599,51,0
00000254--0ac259250e--6,E5,599,528,0
00000254--0ac259250e--7,E,599,0,0
00000254--0ac259250e--7,E1,599,0,0
00000254--0ac259250e--7,E2,599,0,0
00000254--0ac259250e--7,E3,599,0,0
00000254--0ac259250e--7,E4,599,0,0
00000254--0ac259250e--7,E5,599,0,0
00000254--0ac259250e--8,E,600,109,0
00000254--0ac259250e--8,E1,600,28,0
00000254--0ac259250e--8,E2,600,69,0
00000254--0ac259250e--8,E3,600,69,0
00000254--0ac259250e--8,E4,600,21,0
00000254--0ac259250e--8,E5,600,245,0
00000254--0ac259250e--9,E,600,99,0
00000254--0ac259250e--9,E1,600,30,0
00000254--0ac259250e--9,E2,600,98,0
00000254--0ac259250e--9,E3,600,98,0
00000254--0ac259250e--9,E4,600,0,0
00000254--0ac259250e--9,E5,600,157,0
00000255--d1d0ee73c5--21,E,599,0,0
00000255--d1d0ee73c5--21,E1,599,0,0
00000255--d1d0ee73c5--21,E2,599,0,0
00000255--d1d0ee73c5--21,E3,599,0,0
00000255--d1d0ee73c5--21,E4,599,0,0
00000255--d1d0ee73c5--21,E5,599,30,0
00000255--d1d0ee73c5--22,E,599,74,0
00000255--d1d0ee73c5--22,E1,599,0,0
00000255--d1d0ee73c5--22,E2,599,74,0
00000255--d1d0ee73c5--22,E3,599,74,0
00000255--d1d0ee73c5--22,E4,599,51,0
00000255--d1d0ee73c5--22,E5,599,109,0
00000255--d1d0ee73c5--23,E,599,105,0
00000255--d1d0ee73c5--23,E1,599,15,0
00000255--d1d0ee73c5--23,E2,599,58,0
00000255--d1d0ee73c5--23,E3,599,63,0
00000255--d1d0ee73c5--23,E4,599,0,0
00000255--d1d0ee73c5--23,E5,599,139,0
00000255--d1d0ee73c5--24,E,600,96,0
00000255--d1d0ee73c5--24,E1,600,32,0
00000255--d1d0ee73c5--24,E2,600,96,0
00000255--d1d0ee73c5--24,E3,600,96,0
00000255--d1d0ee73c5--24,E4,600,0,0
00000255--d1d0ee73c5--24,E5,600,423,0
00000255--d1d0ee73c5--25,E,599,117,0
00000255--d1d0ee73c5--25,E1,599,106,0
00000255--d1d0ee73c5--25,E2,599,117,0
00000255--d1d0ee73c5--25,E3,599,117,0
00000255--d1d0ee73c5--25,E4,599,11,0
00000255--d1d0ee73c5--25,E5,599,120,0
00000255--d1d0ee73c5--26,E,599,0,0
00000255--d1d0ee73c5--26,E1,599,0,0
00000255--d1d0ee73c5--26,E2,599,0,0
00000255--d1d0ee73c5--26,E3,599,0,0
00000255--d1d0ee73c5--26,E4,599,0,0
00000255--d1d0ee73c5--26,E5,599,0,0
00000255--d1d0ee73c5--27,E,600,7,0
00000255--d1d0ee73c5--27,E1,600,7,0
00000255--d1d0ee73c5--27,E2,600,7,0
00000255--d1d0ee73c5--27,E3,600,7,0
00000255--d1d0ee73c5--27,E4,600,0,0
00000255--d1d0ee73c5--27,E5,600,298,0
00000255--d1d0ee73c5--28,E,599,473,0
00000255--d1d0ee73c5--28,E1,599,0,0
00000255--d1d0ee73c5--28,E2,599,473,0
00000255--d1d0ee73c5--28,E3,599,473,0
00000255--d1d0ee73c5--28,E4,599,0,0
00000255--d1d0ee73c5--28,E5,599,507,0
00000255--d1d0ee73c5--29,E,600,27,0
00000255--d1d0ee73c5--29,E1,600,0,0
