key,policy,scans,radarstate_changed_scans,planner_input_changed_scans,lead_coordinate_only,lead_id_changed,lead_gain,lead_loss,lead1_lead2_change,lead_aLead_changed
00000247--b657952782--7,E4,600,0,0,0,0,0,0,0,0
00000247--b657952782--7,E5,600,0,0,0,0,0,0,0,0
00000247--b657952782--8,E,599,0,0,0,0,0,0,0,0
00000247--b657952782--8,E1,599,0,0,0,0,0,0,0,0
00000247--b657952782--8,E2,599,0,0,0,0,0,0,0,0
00000247--b657952782--8,E3,599,0,0,0,0,0,0,0,0
00000247--b657952782--8,E4,599,0,0,0,0,0,0,0,0
00000247--b657952782--8,E5,599,0,0,0,0,0,0,0,0
00000247--b657952782--9,E,600,0,0,0,0,0,0,0,0
00000247--b657952782--9,E1,600,0,0,0,0,0,0,0,0
00000247--b657952782--9,E2,600,0,0,0,0,0,0,0,0
00000247--b657952782--9,E3,600,0,0,0,0,0,0,0,0
00000247--b657952782--9,E4,600,0,0,0,0,0,0,0,0
00000247--b657952782--9,E5,600,0,0,0,0,0,0,0,0
00000250--8354d55131--0,E,621,0,0,0,0,0,0,0,0
00000250--8354d55131--0,E1,621,0,0,0,0,0,0,0,0
00000250--8354d55131--0,E2,621,0,0,0,0,0,0,0,0
00000250--8354d55131--0,E3,621,0,0,0,0,0,0,0,0
00000250--8354d55131--0,E4,621,0,0,0,0,0,0,0,0
00000250--8354d55131--0,E5,621,191,191,7,50,0,1,0,133
00000250--8354d55131--1,E,599,0,0,0,0,0,0,0,0
00000250--8354d55131--1,E1,599,0,0,0,0,0,0,0,0
00000250--8354d55131--1,E2,599,0,0,0,0,0,0,0,0
00000250--8354d55131--1,E3,599,0,0,0,0,0,0,0,0
00000250--8354d55131--1,E4,599,0,0,0,0,0,0,0,0
00000250--8354d55131--1,E5,599,54,54,0,52,2,0,0,0
00000250--8354d55131--2,E,377,0,0,0,0,0,0,0,0
00000250--8354d55131--2,E1,377,0,0,0,0,0,0,0,0
00000250--8354d55131--2,E2,377,0,0,0,0,0,0,0,0
00000250--8354d55131--2,E3,377,0,0,0,0,0,0,0,0
00000250--8354d55131--2,E4,377,0,0,0,0,0,0,0,0
00000250--8354d55131--2,E5,377,127,127,0,0,0,0,0,127
00000252--d191bee66c--0,E,617,8,8,0,3,2,0,0,3
00000252--d191bee66c--0,E1,617,0,0,0,0,0,0,0,0
00000252--d191bee66c--0,E2,617,8,8,0,3,2,0,0,3
00000252--d191bee66c--0,E3,617,8,8,0,3,2,0,0,3
00000252--d191bee66c--0,E4,617,0,0,0,0,0,0,0,0
00000252--d191bee66c--0,E5,617,222,222,0,30,2,8,0,182
00000252--d191bee66c--1,E,600,305,305,0,305,0,0,0,0
00000252--d191bee66c--1,E1,600,0,0,0,0,0,0,0,0
00000252--d191bee66c--1,E2,600,305,305,0,305,0,0,0,0
00000252--d191bee66c--1,E3,600,305,305,0,305,0,0,0,0
00000252--d191bee66c--1,E4,600,0,0,0,0,0,0,0,0
00000252--d191bee66c--1,E5,600,448,448,0,413,0,0,0,35
00000252--d191bee66c--2,E,333,0,0,0,0,0,0,0,0
00000252--d191bee66c--2,E1,333,0,0,0,0,0,0,0,0
00000252--d191bee66c--2,E2,333,0,0,0,0,0,0,0,0
00000252--d191bee66c--2,E3,333,0,0,0,0,0,0,0,0
00000252--d191bee66c--2,E4,333,0,0,0,0,0,0,0,0
00000252--d191bee66c--2,E5,333,0,0,0,0,0,0,0,0
00000254--0ac259250e--0,E,620,0,0,0,0,0,0,0,0
00000254--0ac259250e--0,E1,620,0,0,0,0,0,0,0,0
00000254--0ac259250e--0,E2,620,0,0,0,0,0,0,0,0
00000254--0ac259250e--0,E3,620,0,0,0,0,0,0,0,0
00000254--0ac259250e--0,E4,620,0,0,0,0,0,0,0,0
00000254--0ac259250e--0,E5,620,252,252,4,69,6,5,0,168
00000254--0ac259250e--1,E,600,0,0,0,0,0,0,0,0
00000254--0ac259250e--1,E1,600,0,0,0,0,0,0,0,0
00000254--0ac259250e--1,E2,600,0,0,0,0,0,0,0,0
00000254--0ac259250e--1,E3,600,0,0,0,0,0,0,0,0
00000254--0ac259250e--1,E4,600,0,0,0,0,0,0,0,0
00000254--0ac259250e--1,E5,600,174,174,7,82,0,0,0,85
00000254--0ac259250e--10,E,599,0,0,0,0,0,0,0,0
00000254--0ac259250e--10,E1,599,0,0,0,0,0,0,0,0
00000254--0ac259250e--10,E2,599,0,0,0,0,0,0,0,0
00000254--0ac259250e--10,E3,599,0,0,0,0,0,0,0,0
00000254--0ac259250e--10,E4,599,0,0,0,0,0,0,0,0
00000254--0ac259250e--10,E5,599,0,0,0,0,0,0,0,0
00000254--0ac259250e--11,E,599,0,0,0,0,0,0,0,0
00000254--0ac259250e--11,E1,599,0,0,0,0,0,0,0,0
00000254--0ac259250e--11,E2,599,0,0,0,0,0,0,0,0
00000254--0ac259250e--11,E3,599,0,0,0,0,0,0,0,0
00000254--0ac259250e--11,E4,599,0,0,0,0,0,0,0,0
00000254--0ac259250e--11,E5,599,7,7,0,3,0,0,0,4
00000254--0ac259250e--12,E,600,66,66,0,66,0,0,0,0
00000254--0ac259250e--12,E1,600,66,66,0,66,0,0,0,0
00000254--0ac259250e--12,E2,600,66,66,0,66,0,0,0,0
00000254--0ac259250e--12,E3,600,66,66,0,66,0,0,0,0
00000254--0ac259250e--12,E4,600,0,0,0,0,0,0,0,0
00000254--0ac259250e--12,E5,600,66,66,0,66,0,0,0,0
00000254--0ac259250e--13,E,600,0,0,0,0,0,0,0,0
00000254--0ac259250e--13,E1,600,0,0,0,0,0,0,0,0
00000254--0ac259250e--13,E2,600,0,0,0,0,0,0,0,0
00000254--0ac259250e--13,E3,600,0,0,0,0,0,0,0,0
00000254--0ac259250e--13,E4,600,0,0,0,0,0,0,0,0
00000254--0ac259250e--13,E5,600,579,579,4,0,0,0,0,575
00000254--0ac259250e--14,E,600,0,0,0,0,0,0,0,0
00000254--0ac259250e--14,E1,600,0,0,0,0,0,0,0,0
00000254--0ac259250e--14,E2,600,0,0,0,0,0,0,0,0
00000254--0ac259250e--14,E3,600,0,0,0,0,0,0,0,0
