event_id,key,scan,scan_ns,pid,category,old_members,new_members,old_representative,new_representative,old_rep_still_member,required_change,delta_d,delta_y,delta_v,abs_delta_d,abs_delta_y,abs_delta_v,old_published,new_published,old_alias,new_alias,publication_effect,publication_delta_d,publication_delta_y,publication_delta_v,publication_delta_aLead,radarstate_effect,radarstate_affected,score_delta,old_cost,new_cost,best_vision,old_vision,best_oem,old_oem,support_superiority,group_size_before,group_size_after,old_d,old_y,old_v,old_age,new_d,new_y,new_v,new_age,old_aRel,new_aRel,old_member_current_d,old_member_current_y,old_member_current_v,old_member_current_age,old_member_current_slot,old_member_current_measurement_ns,new_member_current_d,new_member_current_y,new_member_current_v,new_member_current_age,new_member_current_slot,new_member_current_measurement_ns,old_published_aLead,new_published_aLead,lead_role_before,lead_role_after,previous_rep_dwell_scans,previous_rep_dwell_s
00000269--4014745f93--12:212:1000211,00000269--4014745f93--12,212,812006317609,1000211,R1_STABLE_GROUP_REP_CHANGE,208|209,208|209,208,209,1,0,-2.5,-0.15625,0.0,2.5,0.15625,0.0,1,1,32,32,P2_PUBLISHED_COORDINATE_CHANGE,-2.490325927734375,-0.15625,0.0,-0.6108032530248231,NO_DOWNSTREAM_EFFECT,0,2.96875,3.518255118622639,0.5495051186226392,0,0,0,0,0,2,2,113.75,-5.6875,-27.5,5,111.25,-5.84375,-27.5,6,N/A_NAN,N/A_NAN,114.0,-6.03125,-27.25,6,25,811995828205,111.25,-5.84375,-27.5,4,21,811995828205,0.0,-0.6108032530248231,,,5,0.399243936
00000269--4014745f93--12:220:1000214,00000269--4014745f93--12,220,812796116938,1000214,R1_STABLE_GROUP_REP_CHANGE,208|210,208|210,210,208,1,0,-3.0,-0.1875,-0.5,3.0,0.1875,0.5,1,1,34,34,P2_PUBLISHED_COORDINATE_CHANGE,-3.0542221069335938,-0.1875,-0.5,-0.9392840034432772,NO_DOWNSTREAM_EFFECT,0,2.3744838570872338,2.859116928543617,0.4846330714563831,0,0,0,0,0,2,2,100.25,-6.6875,-27.5,8,97.25,-6.875,-28.0,9,N/A_NAN,N/A_NAN,100.25,-6.6875,-27.5,9,0,812796116938,97.25,-6.875,-28.0,14,26,812796116938,0.1774127988818892,-0.761871204561388,,,8,0.689474448
00000269--4014745f93--12:223:1000214,00000269--4014745f93--12,223,813096371944,1000214,R1_STABLE_GROUP_REP_CHANGE,208|210,208|210,208,210,1,0,-2.25,-0.15625,0.25,2.25,0.15625,0.25,1,1,34,34,P2_PUBLISHED_COORDINATE_CHANGE,-2.2525634765625,-0.15625,0.25,0.6348363723369099,NO_DOWNSTREAM_EFFECT,0,1.3869894331168666,2.044429295872089,0.6574398627552225,0,0,0,0,0,2,2,91.0,-7.25,-28.0,11,88.75,-7.40625,-27.75,12,N/A_NAN,N/A_NAN,86.25,-7.5,-28.0,17,26,813096371944,88.75,-7.40625,-27.75,12,0,813096371944,-0.5869691927446004,0.04786717959230957,,,3,0.20179148000000002
00000269--4014745f93--12:224:1000214,00000269--4014745f93--12,224,813207186662,1000214,R1_STABLE_GROUP_REP_CHANGE,208|210,208|210,210,208,1,0,-2.5,-0.09375,-0.25,2.5,0.09375,0.25,1,1,34,34,P2_PUBLISHED_COORDINATE_CHANGE,-2.8415908813476562,-0.09375,-0.25,-0.2072870444810606,NO_DOWNSTREAM_EFFECT,0,2.421875,3.1665304700071575,0.7446554700071575,0,0,0,0,0,2,2,88.75,-7.40625,-27.75,12,86.25,-7.5,-28.0,13,N/A_NAN,N/A_NAN,88.75,-7.40625,-27.75,13,0,813196072091,86.25,-7.5,-28.0,18,26,813196072091,0.04786717959230957,-0.15941986488875104,,,1,0.0
00000269--4014745f93--12:228:1000227,00000269--4014745f93--12,228,813596414706,1000227,R1_STABLE_GROUP_REP_CHANGE,220|223,220|223,220,223,1,0,-3.0,-0.46875,0.0,3.0,0.46875,0.0,1,1,42,42,P2_PUBLISHED_COORDINATE_CHANGE,-2.9788665771484375,-0.46875,0.0,-0.20300420106883255,NO_DOWNSTREAM_EFFECT,0,2.541929860775589,2.8881524303877946,0.34622256961220543,0,0,0,0,0,2,2,96.5,-7.03125,-28.0,5,93.5,-7.5,-28.0,6,N/A_NAN,N/A_NAN,96.5,-7.03125,-28.0,6,17,813596414706,93.5,-7.5,-28.0,4,9,813596414706,0.0,-0.20300420106883255,,,5,0.39976136700000003
00000269--4014745f93--12:234:1000215,00000269--4014745f93--12,234,814196776832,1000215,R1_STABLE_GROUP_REP_CHANGE,211|216,211|216,211,216,1,0,-1.25,-0.375,0.0,1.25,0.375,0.0,1,1,33,33,P2_PUBLISHED_COORDINATE_CHANGE,-1.5081558227539062,-0.375,0.0,0.15009345147968017,NO_DOWNSTREAM_EFFECT,0,0.01496569148687854,1.4766499597443534,1.4616842682574749,0,0,0,0,0,2,2,66.0,-8.4375,-28.25,22,64.75,-8.8125,-28.25,23,N/A_NAN,N/A_NAN,62.0,-8.625,-28.25,23,31,814196776832,64.75,-8.8125,-28.25,16,5,814196776832,-0.030109663761718614,0.11998378771796156,,,22,2.099902923
00000269--4014745f93--12:250:1000239,00000269--4014745f93--12,250,815796351523,1000239,R1_STABLE_GROUP_REP_CHANGE,229|246,229|246,229,246,1,0,-2.75,-0.21875,0.0,2.75,0.21875,0.0,1,1,66,66,P2_PUBLISHED_COORDINATE_CHANGE,-2.8106689453125,-0.21875,0.0,0.11591117486577915,NO_DOWNSTREAM_EFFECT,0,2.6633763163896287,2.8937164967990077,0.23034018040937898,0,0,0,0,0,2,2,100.5,-8.5625,-28.75,20,97.75,-8.78125,-28.75,21,N/A_NAN,N/A_NAN,100.5,-8.5625,-28.75,21,8,815796351523,97.75,-8.78125,-28.75,9,2,815796351523,0.07932315642082774,0.1952343312866069,,,20,1.889713623
00000269--4014745f93--12:250:1000248,00000269--4014745f93--12,250,815796351523,1000248,R1_STABLE_GROUP_REP_CHANGE,238|253,238|253,238,253,1,0,-3.0,-0.8125,0.0,3.0,0.8125,0.0,1,1,85,85,P2_PUBLISHED_COORDINATE_CHANGE,-3.0606689453125,-0.8125,0.0,0.16556187398200617,NO_DOWNSTREAM_EFFECT,0,2.3823049522450974,2.8942774761225487,0.5119725238774513,0,0,0,0,0,2,2,106.5,-7.96875,-28.75,14,103.5,-8.78125,-28.75,15,N/A_NAN,N/A_NAN,106.5,-7.96875,-28.75,15,6,815796351523,103.5,-8.78125,-28.75,5,30,815796351523,-0.16312463100526042,0.002437242976745746,,,14,1.300264396
00000269--4014745f93--12:251:1000220,00000269--4014745f93--12,251,815895564904,1000220,R1_STABLE_GROUP_REP_CHANGE,220|242,220|242,220,242,1,0,-3.0,-0.15625,0.5,3.0,0.15625,0.5,1,1,58,58,P2_PUBLISHED_COORDINATE_CHANGE,-2.9366531372070312,-0.15625,0.5,1.1749565985289754,NO_DOWNSTREAM_EFFECT,0,2.803972789662179,3.2490859606779967,0.4451131710158176,0,0,0,0,0,2,2,31.75,-9.25,-29.0,34,28.75,-9.40625,-28.5,35,N/A_NAN,N/A_NAN,25.75,-9.25,-29.25,29,9,815895564904,28.75,-9.40625,-28.5,12,17,815895564904,-0.14766654252660733,1.0272900560023681,,,18,1.6901309910000002
00000269--4014745f93--12:251:1000239,00000269--4014745f93--12,251,815895564904,1000239,R1_STABLE_GROUP_REP_CHANGE,229|246,229|246,246,229,1,0,-3.25,0.25,0.0,3.25,0.25,0.0,1,1,66,66,P2_PUBLISHED_COORDINATE_CHANGE,-3.2015380859375,0.25,0.0,0.04620443799379792,NO_DOWNSTREAM_EFFECT,0,2.65625,3.1883682976066012,0.5321182976066012,0,0,0,0,0,2,2,97.75,-8.78125,-28.75,21,94.5,-8.53125,-28.75,22,N/A_NAN,N/A_NAN,91.75,-8.71875,-28.75,10,2,815895564904,94.5,-8.53125,-28.75,22,8,815895564904,0.1952343312866069,0.2414387692804048,,,1,0.0
00000269--4014745f93--12:251:1000248,00000269--4014745f93--12,251,815895564904,1000248,R1_STABLE_GROUP_REP_CHANGE,238|253,238|253,253,238,1,0,-3.0,0.53125,0.0,3.0,0.53125,0.0,1,1,85,85,P2_PUBLISHED_COORDINATE_CHANGE,-2.9515380859375,0.53125,0.0,0.09967937396004832,NO_DOWNSTREAM_EFFECT,0,2.75,3.173449911569498,0.42344991156949785,0,0,0,0,0,2,2,103.5,-8.78125,-28.75,15,100.5,-8.25,-28.75,16,N/A_NAN,N/A_NAN,97.5,-8.75,-28.75,6,30,815895564904,100.5,-8.25,-28.75,16,6,815895564904,0.002437242976745746,0.10211661693679407,,,1,0.0
00000269--4014745f93--12:252:1000220,00000269--4014745f93--12,252,815996188909,1000220,R1_STABLE_GROUP_REP_CHANGE,220|242,220|242,242,220,1,0,-3.0,0.15625,-0.75,3.0,0.15625,0.75,1,1,58,58,P2_PUBLISHED_COORDINATE_CHANGE,-3.092611312866211,0.15625,-0.75,-1.2000000000000002,NO_DOWNSTREAM_EFFECT,0,2.2864091446033044,2.87249428961582,0.5860851450125155,0,0,0,0,0,2,2,28.75,-9.40625,-28.5,35,25.75,-9.25,-29.25,36,N/A_NAN,N/A_NAN,28.75,-9.40625,-28.5,13,17,815996188909,25.75,-9.25,-29.25,30,9,815996188909,1.0272900560023681,-0.17270994399763206,,,1,0.0
00000269--4014745f93--12:253:1000220,00000269--4014745f93--12,253,816096093743,1000220,R1_STABLE_GROUP_REP_CHANGE,220|242,220|242,220,242,1,0,-2.75,-0.15625,0.75,2.75,0.15625,0.75,1,1,58,58,P2_PUBLISHED_COORDINATE_CHANGE,-2.744739532470703,-0.15625,0.75,1.2000000000000002,NO_DOWNSTREAM_EFFECT,0,2.2029847018267645,2.8280548509133823,0.6250701490866177,0,0,0,0,0,2,2,25.75,-9.25,-29.25,36,23.0,-9.40625,-28.5,37,N/A_NAN,N/A_NAN,20.0,-9.25,-29.25,31,9,816096093743,23.0,-9.40625,-28.5,14,17,816096093743,-0.17270994399763206,1.0272900560023681,,,1,0.0
00000269--4014745f93--12:254:1000220,00000269--4014745f93--12,254,816196734938,1000220,R1_STABLE_GROUP_REP_CHANGE,220|242,220|242,242,220,1,0,-3.0,0.15625,-0.75,3.0,0.15625,0.75,1,1,58,58,P2_PUBLISHED_COORDINATE_CHANGE,-2.9476757049560547,0.15625,-0.75,-1.2000000000000002,NO_DOWNSTREAM_EFFECT,0,2.287050874366713,2.8720285273132227,0.5849776529465096,0,0,0,0,0,2,2,23.0,-9.40625,-28.5,37,20.0,-9.25,-29.25,38,N/A_NAN,N/A_NAN,23.0,-9.40625,-28.5,15,17,816196734938,20.0,-9.25,-29.25,32,9,816196734938,1.0272900560023681,-0.17270994399763206,,,1,0.0
