event_id,scan,pid,category,abs_delta_d,abs_delta_y,abs_delta_v,publication_divergence_scans,publication_divergence_duration_s,key,policy
00000245--2c15eb5d45--7:189:1000257,189,1000257,R1_STABLE_GROUP_REP_CHANGE,3.25,0.21875,0.0,34,3.3004050190000003,00000245--2c15eb5d45--7,E
00000245--2c15eb5d45--7:197:1000298,197,1000298,R1_STABLE_GROUP_REP_CHANGE,2.75,1.09375,0.25,34,3.3004050190000003,00000245--2c15eb5d45--7,E
00000245--2c15eb5d45--7:207:1000298,207,1000298,R2_MEMBER_DISAPPEAR_REP_CHANGE,2.5,1.03125,0.5,34,3.3004050190000003,00000245--2c15eb5d45--7,E
00000245--2c15eb5d45--7:219:1000333,219,1000333,R1_STABLE_GROUP_REP_CHANGE,3.5,0.09375,0.0,37,3.599811287,00000245--2c15eb5d45--7,E
00000245--2c15eb5d45--7:363:1000452,363,1000452,R1_STABLE_GROUP_REP_CHANGE,2.25,0.0625,0.0,42,4.100034423,00000245--2c15eb5d45--7,E
00000245--2c15eb5d45--7:366:1000452,366,1000452,R2_MEMBER_DISAPPEAR_REP_CHANGE,2.5,0.125,0.0,42,4.100034423,00000245--2c15eb5d45--7,E
00000245--2c15eb5d45--7:538:1000676,538,1000676,R4_GROUP_SPLIT_REP_CHANGE,2.75,0.21875,0.0,66,6.499946621,00000245--2c15eb5d45--7,E
00000245--2c15eb5d45--7:543:1000676,543,1000676,R5_GROUP_MERGE_REP_CHANGE,4.75,0.59375,0.0,66,6.499946621,00000245--2c15eb5d45--7,E
00000247--b657952782--0:287:1000394,287,1000394,R1_STABLE_GROUP_REP_CHANGE,1.0,0.3125,0.25,24,2.299542609,00000247--b657952782--0,E
00000247--b657952782--0:344:1000524,344,1000524,R1_STABLE_GROUP_REP_CHANGE,1.0,0.15625,0.0,1,0.0,00000247--b657952782--0,E
00000247--b657952782--0:345:1000524,345,1000524,R2_MEMBER_DISAPPEAR_REP_CHANGE,0.25,0.46875,0.0,0,0.0,00000247--b657952782--0,E
00000247--b657952782--0:370:1000507,370,1000507,R1_STABLE_GROUP_REP_CHANGE,0.5,0.25,0.25,1,0.0,00000247--b657952782--0,E
00000247--b657952782--0:371:1000507,371,1000507,R2_MEMBER_DISAPPEAR_REP_CHANGE,1.5,0.0625,0.0,0,0.0,00000247--b657952782--0,E
00000247--b657952782--0:469:1000644,469,1000644,R1_STABLE_GROUP_REP_CHANGE,1.0,0.28125,0.25,1,0.0,00000247--b657952782--0,E
00000247--b657952782--0:469:1000681,469,1000681,R5_GROUP_MERGE_REP_CHANGE,0.5,0.75,0.0,1,0.0,00000247--b657952782--0,E
00000247--b657952782--0:470:1000644,470,1000644,R2_MEMBER_DISAPPEAR_REP_CHANGE,0.0,0.5,0.25,0,0.0,00000247--b657952782--0,E
00000247--b657952782--0:470:1000681,470,1000681,R4_GROUP_SPLIT_REP_CHANGE,0.25,0.40625,0.0,0,0.0,00000247--b657952782--0,E
00000247--b657952782--0:496:1000644,496,1000644,R1_STABLE_GROUP_REP_CHANGE,1.25,0.0625,0.0,1,0.0,00000247--b657952782--0,E
00000247--b657952782--0:497:1000644,497,1000644,R5_GROUP_MERGE_REP_CHANGE,0.25,0.09375,0.0,0,0.0,00000247--b657952782--0,E
00000247--b657952782--0:529:1000694,529,1000694,R1_STABLE_GROUP_REP_CHANGE,1.25,0.125,0.0,19,1.9002803830000001,00000247--b657952782--0,E
00000247--b657952782--0:538:1000785,538,1000785,R1_STABLE_GROUP_REP_CHANGE,1.25,0.40625,0.25,19,1.9002803830000001,00000247--b657952782--0,E
