population,tenure_scans,count,duration_p50_s,duration_p90_s,duration_p95_s,duration_p99_s,duration_max_s
ALL_REPRESENTATIVE_TENURE,89,103,8.799993438000001,8.8012259992,8.8099457584,8.81086575816,8.940319713000001
ALL_REPRESENTATIVE_TENURE,90,112,8.899962873500002,8.909841163400001,8.910759232950001,8.929760197030001,8.949041181
ALL_REPRESENTATIVE_TENURE,91,101,8.999947104,9.00195339,9.010608621000001,9.079367259000001,9.099939353
ALL_REPRESENTATIVE_TENURE,92,112,9.099984371000001,9.101955820600002,9.1102998273,9.120136692360003,9.220087205
ALL_REPRESENTATIVE_TENURE,93,109,9.200080441,9.2093061258,9.210073889,9.21190829328,9.279217129000001
ALL_REPRESENTATIVE_TENURE,94,100,9.299855345000001,9.3021508743,9.309369440050002,9.31984204341,9.321181455000001
ALL_REPRESENTATIVE_TENURE,95,85,9.40015631,9.4096547318,9.4101735122,9.44438114184,9.460686864000001
ALL_REPRESENTATIVE_TENURE,96,95,9.499903208000001,9.5010948608,9.504243511,9.510012019740001,9.511256842
ALL_REPRESENTATIVE_TENURE,97,108,9.6000543495,9.6092267309,9.610061485650002,9.61128784577,9.611793334000001
ALL_REPRESENTATIVE_TENURE,98,60,9.6996798885,9.701848398200001,9.709809571100001,9.71422494227,9.719075478
ALL_REPRESENTATIVE_TENURE,99,81,9.799985545,9.801764152,9.810226705,9.812317706000002,9.819894262
ALL_REPRESENTATIVE_TENURE,100,84,9.899900950500001,9.9014964136,9.909511760150002,9.91062967336,9.911430879000001
ALL_REPRESENTATIVE_TENURE,101,76,10.000047608000001,10.0102368545,10.01086379675,10.02287577025,10.031335603
ALL_REPRESENTATIVE_TENURE,102,72,10.099988975,10.101605830800002,10.109917346500001,10.12780398609,10.169765498
ALL_REPRESENTATIVE_TENURE,103,76,10.1999503175,10.200803198500001,10.20185624175,10.21040482,10.210700113000001
ALL_REPRESENTATIVE_TENURE,104,64,10.2999244035,10.3022467769,10.3098530888,10.314217837850002,10.319740925000001
ALL_REPRESENTATIVE_TENURE,105,64,10.400068730500001,10.4099250529,10.410309707200001,10.43102250431,10.450252601
ALL_REPRESENTATIVE_TENURE,106,66,10.499966870000002,10.502103375,10.5099384915,10.5941154204,10.660107739
ALL_REPRESENTATIVE_TENURE,107,60,10.600008218500001,10.602732045,10.6103936447,10.62013481714,10.620243586
ALL_REPRESENTATIVE_TENURE,108,66,10.700093758000001,10.709442191,10.710105101249999,10.725462570300001,10.749977423
ALL_REPRESENTATIVE_TENURE,109,62,10.800233986000002,10.808040448300002,10.8097205769,10.874081470630001,10.959856265
ALL_REPRESENTATIVE_TENURE,110,53,10.899874689,10.9016511174,10.9046333196,10.90964121148,10.909930475000001
ALL_REPRESENTATIVE_TENURE,111,56,10.999865315000001,11.0086286545,11.01009665275,11.046432814150002,11.090567535
ALL_REPRESENTATIVE_TENURE,112,66,11.100123484500001,11.1093019325,11.111151330250001,11.1262990331,11.141909268000001
ALL_REPRESENTATIVE_TENURE,113,60,11.199906569,11.202039888900002,11.209884557599999,11.24129393838,11.269833252000002
ALL_REPRESENTATIVE_TENURE,114,44,11.300077309,11.301150401600001,11.302434074250002,11.31027514134,11.310493436000002
ALL_REPRESENTATIVE_TENURE,115,47,11.399958694,11.401259082000001,11.4097172253,11.410130695040001,11.41021491
ALL_REPRESENTATIVE_TENURE,116,66,11.500148239000001,11.5060389175,11.50968473925,11.51043923735,11.510503562
ALL_REPRESENTATIVE_TENURE,117,45,11.599867522,11.602101581000001,11.608316180400001,11.66042715532,11.699903173000001
ALL_REPRESENTATIVE_TENURE,118,57,11.699903402,11.7053633266,11.7121567282,11.77713805628,11.850396857000002
ALL_REPRESENTATIVE_TENURE,119,45,11.800006711,11.801707179800001,11.8073817386,11.81050716336,11.810932481
ALL_REPRESENTATIVE_TENURE,120,54,11.8999591135,11.9066716364,11.908714276600001,11.924872247740002,11.929350558000001
ALL_REPRESENTATIVE_TENURE,121,42,11.999679407,12.001346921900002,12.0085983431,12.028581003550002,12.040087344000002
ALL_REPRESENTATIVE_TENURE,122,45,12.099706219000002,12.111021081,12.1595669072,12.2248309422,12.260178351
ALL_REPRESENTATIVE_TENURE,123,39,12.200014150000001,12.2095262982,12.222474087400002,12.49592717294,12.610103811
