score_delta_rounded_1e6,count,within_0_25
0.022513,1,1
0.022529,1,1
0.022604,1,1
0.022632,1,1
0.022641,1,1
0.022669,1,1
0.022672,1,1
0.022679,1,1
0.02274,1,1
0.022874,1,1
0.022981,1,1
0.022993,1,1
0.023014,1,1
0.023018,1,1
0.023021,1,1
0.023039,1,1
0.023075,1,1
0.023135,1,1
0.023192,1,1
0.023258,1,1
0.023331,1,1
0.023355,1,1
0.023394,1,1
0.023441,1,1
0.023451,1,1
0.023529,1,1
0.023544,1,1
0.023546,1,1
0.023626,1,1
0.023628,1,1
0.023637,1,1
0.023648,1,1
0.023649,1,1
0.023654,1,1
0.023661,1,1
0.023673,1,1
0.023697,1,1
0.023778,1,1
0.02386,1,1
0.023978,1,1
0.024051,1,1
0.024136,1,1
0.024279,1,1
0.024284,1,1
0.024304,1,1
0.024487,1,1
0.024536,1,1
0.024541,1,1
0.024544,1,1
0.02456,1,1
0.024564,1,1
0.024592,1,1
0.024645,1,1
0.024669,1,1
0.024831,1,1
0.024853,1,1
0.02488,1,1
0.024927,1,1
0.024931,1,1
0.024937,1,1
0.024995,1,1
0.025006,1,1
0.02506,1,1
0.02511,1,1
0.025125,1,1
0.025172,1,1
0.025207,1,1
0.025218,1,1
0.02527,1,1
0.025283,1,1
0.025286,1,1
0.025351,1,1
0.025358,1,1
0.025363,1,1
0.02543,1,1
0.025434,1,1
0.025521,1,1
0.0256,1,1
0.02562,1,1
0.025633,1,1
0.025653,1,1
0.025712,1,1
0.025729,1,1
0.02577,1,1
0.025772,1,1
0.025783,2,1
0.02591,1,1
0.025928,1,1
0.025972,1,1
0.026,1,1
0.026013,1,1
0.02604,1,1
0.026051,1,1
0.026059,1,1
0.026065,1,1
0.026066,1,1
0.026134,1,1
0.026152,1,1
0.026251,1,1
0.02635,1,1
0.02636,1,1
0.02655,1,1
0.026591,1,1
0.026644,1,1
0.026652,1,1
0.026658,1,1
0.026705,1,1
0.026784,1,1
0.026797,1,1
0.026806,1,1
0.026828,1,1
0.026859,1,1
0.026902,1,1
0.026998,1,1
0.027047,1,1
0.027109,1,1
0.02716,1,1
0.0272,1,1
0.02721,1,1
0.027215,1,1
0.027234,1,1
0.027243,1,1
0.027367,1,1
0.027387,1,1
0.027521,1,1
0.02754,1,1
0.027653,1,1
0.027692,1,1
0.027735,1,1
0.027752,1,1
0.027781,1,1
0.027828,1,1
0.027902,1,1
0.027921,1,1
0.02793,1,1
0.028009,1,1
0.028037,1,1
0.028137,1,1
0.028162,1,1
0.028189,1,1
0.028194,1,1
0.02821,1,1
0.028231,1,1
0.028239,1,1
0.02826,1,1
0.028282,1,1
0.028309,1,1
0.028331,1,1
0.028354,1,1
0.028372,1,1
0.028431,1,1
0.0285,1,1
0.028504,1,1
0.028507,1,1
0.028543,1,1
0.028594,1,1
0.028621,1,1
0.028721,1,1
0.028736,1,1
0.028765,1,1
0.028774,2,1
0.028869,1,1
0.028926,1,1
0.028951,1,1
0.028986,1,1
0.029059,1,1
0.02906,1,1
0.029225,1,1
0.029235,1,1
0.029267,1,1
0.029287,1,1
0.029395,1,1
0.029429,1,1
0.02944,1,1
0.029464,1,1
0.029465,1,1
0.029533,1,1
0.02955,1,1
0.029589,1,1
0.02959,1,1
0.029645,1,1
0.029691,1,1
0.029713,1,1
0.029759,1,1
0.029812,1,1
0.029816,1,1
0.029828,1,1
0.029939,1,1
0.030062,1,1
0.030096,1,1
0.03013,1,1
0.030139,1,1
0.030241,1,1
0.030309,1,1
0.030362,1,1
0.030374,1,1
0.030409,1,1
0.030427,1,1
0.030453,1,1
0.030485,1,1
0.030494,1,1
0.030609,1,1
0.03062,1,1
0.030642,1,1
0.030653,1,1
0.030686,1,1
0.030695,1,1
0.030696,1,1
0.030736,1,1
0.030761,1,1
0.030785,1,1
0.030788,1,1
0.03079,1,1
0.030801,1,1
0.030836,1,1
0.030845,1,1
0.030866,1,1
0.03087,1,1
0.030928,1,1
0.031026,1,1
0.031066,1,1
0.031079,1,1
0.03108,1,1
0.031106,1,1
0.031156,1,1
0.031214,1,1
0.031231,1,1
0.03125,15,1
0.03134,1,1
0.031441,1,1
0.031465,1,1
0.031479,1,1
0.031539,1,1
0.031658,1,1
0.031702,1,1
0.031732,1,1
0.031865,1,1
0.031915,1,1
0.031926,1,1
0.032012,1,1
0.032014,1,1
0.03214,1,1
0.032194,1,1
0.032244,1,1
0.032263,1,1
0.032285,1,1
0.032469,1,1
0.03248,1,1
0.032508,1,1
0.032515,1,1
0.032596,1,1
0.032617,1,1
0.032754,1,1
0.032756,1,1
0.032801,1,1
0.032884,1,1
0.032893,1,1
0.032972,1,1
0.03298,1,1
0.032991,1,1
0.033001,1,1
0.033106,1,1
0.033365,1,1
0.0334,1,1
0.033416,1,1
0.033474,1,1
0.033476,1,1
0.033484,1,1
0.033593,1,1
0.033665,1,1
0.033667,1,1
0.033758,1,1
0.033855,1,1
0.03388,1,1
0.033929,1,1
0.033944,1,1
0.03396,1,1
0.034008,1,1
0.03406,1,1
0.034064,1,1
0.034086,1,1
0.034089,1,1
0.034096,1,1
0.034119,1,1
0.034192,1,1
0.034221,1,1
0.034231,1,1
0.034253,1,1
0.034284,1,1
0.034291,1,1
0.034305,1,1
0.034317,1,1
0.034372,1,1
0.034464,1,1
0.034616,1,1
0.034759,1,1
0.034769,1,1
0.034773,1,1
0.034811,1,1
0.034858,1,1
0.034894,1,1
0.034926,1,1
0.034957,1,1
0.034999,1,1
0.035088,1,1
0.035102,1,1
0.035155,1,1
0.035171,1,1
0.035208,1,1
0.035215,1,1
0.035219,1,1
0.035243,1,1
0.035262,1,1
0.035397,1,1
0.035421,1,1
0.035423,1,1
0.035497,1,1
0.035514,1,1
0.035537,1,1
0.035587,1,1
0.035593,1,1
0.035689,1,1
0.035728,1,1
0.03576,1,1
0.035771,1,1
0.035785,1,1
0.035808,1,1
0.035883,1,1
0.035884,1,1
0.035984,1,1
0.036002,1,1
0.036007,1,1
0.036017,1,1
0.036035,1,1
0.036052,1,1
0.036077,1,1
0.036107,1,1
0.036137,1,1
0.036162,2,1
0.036174,1,1
0.036242,1,1
0.036294,1,1
0.036301,1,1
0.036304,1,1
0.036425,1,1
0.036445,1,1
0.036452,1,1
0.036491,1,1
0.036536,1,1
0.036541,1,1
0.03655,1,1
0.036564,1,1
0.036567,1,1
0.036578,1,1
0.036699,1,1
0.036744,1,1
0.036748,1,1
0.036766,1,1
0.036771,1,1
0.036794,1,1
0.036819,1,1
0.03683,1,1
0.036831,1,1
0.036889,1,1
0.036913,1,1
0.036933,1,1
0.036972,1,1
0.037005,1,1
0.03702,1,1
0.037113,1,1
0.037179,1,1
0.037231,1,1
0.037258,1,1
0.037359,1,1
0.03736,1,1
0.037417,1,1
0.037457,1,1
0.037474,1,1
0.037551,1,1
0.037644,1,1
0.037665,1,1
0.037801,1,1
0.037833,1,1
0.037841,2,1
0.038015,1,1
0.038038,1,1
0.038048,1,1
0.038049,1,1
0.038143,1,1
0.038202,1,1
0.03826,1,1
0.038328,1,1
0.038333,2,1
0.038365,1,1
0.038435,1,1
0.038494,1,1
0.038521,1,1
0.038537,1,1
0.038552,1,1
0.038597,1,1
0.038666,1,1
0.038716,1,1
0.038765,1,1
0.038786,1,1
0.038828,1,1
0.038849,1,1
0.038952,1,1
0.038976,1,1
0.038982,1,1
0.039049,1,1
0.039109,1,1
0.03913,1,1
0.039215,1,1
0.039221,1,1
0.039254,1,1
0.039281,1,1
0.039297,1,1
0.039349,1,1
0.039493,1,1
0.039547,1,1
0.039557,1,1
0.03956,1,1
0.039564,1,1
0.039613,1,1
0.03965,1,1
0.039711,1,1
0.039778,1,1
0.03978,1,1
0.03979,1,1
0.039853,1,1
0.039909,1,1
0.040113,1,1
0.04015,1,1
0.04016,1,1
0.040202,1,1
0.040228,1,1
0.04023,1,1
0.040283,1,1
0.040338,1,1
0.040349,1,1
0.040379,1,1
0.040388,1,1
0.040391,1,1
0.040392,1,1
0.040511,1,1
0.040536,1,1
0.040573,1,1
0.040604,1,1
0.040734,1,1
0.040887,1,1
0.040888,1,1
0.040932,1,1
0.041018,1,1
0.041033,1,1
0.041145,1,1
0.041252,1,1
0.041294,1,1
0.041444,1,1
0.041488,1,1
0.041622,1,1
0.041667,1,1
0.041719,1,1
0.041737,1,1
0.041753,1,1
0.041858,1,1
0.041866,1,1
0.041964,1,1
0.041976,2,1
0.04199,1,1
0.042006,1,1
0.042136,1,1
0.04215,1,1
0.042166,1,1
0.042275,1,1
0.042294,1,1
0.042364,1,1
0.04237,1,1
0.042373,1,1
0.042383,1,1
0.042395,1,1
0.042407,1,1
0.042424,1,1
0.042449,1,1
0.042496,1,1
0.042538,1,1
0.042565,1,1
0.042637,1,1
0.042739,1,1
0.042741,1,1
0.042771,1,1
0.042799,1,1
0.04286,1,1
0.042935,1,1
0.042963,1,1
0.042964,2,1
0.042973,1,1
0.043042,1,1
0.043082,1,1
0.043161,1,1
0.043172,1,1
0.043184,1,1
0.043213,1,1
0.043243,1,1
0.043364,1,1
0.043416,1,1
0.043427,2,1
0.043435,1,1
0.04344,1,1
0.043456,1,1
0.043503,1,1
0.04361,1,1
0.043661,1,1
0.043673,1,1
0.04378,1,1
0.04384,1,1
0.043864,1,1
0.043894,1,1
0.044,1,1
0.044005,1,1
0.044047,1,1
0.044064,1,1
0.044168,1,1
0.044199,1,1
0.044254,1,1
0.044299,1,1
0.044339,1,1
0.044412,1,1
0.044424,1,1
0.044451,1,1
0.044463,1,1
0.044535,1,1
0.044541,1,1
0.044562,1,1
0.044583,1,1
0.044642,1,1
0.044654,1,1
0.044691,1,1
0.044834,1,1
0.044869,1,1
0.044964,1,1
0.044965,1,1
0.045059,1,1
0.045109,1,1
0.045122,1,1
0.04513,1,1
0.045131,1,1
0.045134,1,1
0.045156,1,1
0.0452,1,1
0.045218,1,1
0.045343,1,1
0.045462,1,1
0.045554,1,1
0.045568,1,1
0.045605,1,1
0.045628,2,1
0.045669,1,1
0.045705,1,1
0.045723,1,1
0.045737,1,1
0.045741,1,1
0.04575,1,1
0.045773,1,1
0.045882,1,1
0.046057,1,1
0.046107,1,1
0.046111,1,1
0.046193,1,1
0.046282,1,1
0.046305,1,1
0.046337,1,1
0.04634,1,1
0.046373,1,1
0.04645,1,1
0.046452,1,1
0.046459,1,1
0.046495,1,1
0.046516,1,1
0.046518,1,1
0.046534,1,1
0.04658,2,1
0.046625,1,1
0.046659,1,1
0.046661,1,1
0.046689,1,1
0.046697,2,1
0.046745,1,1
0.046751,1,1
0.046777,1,1
0.046875,12,1
0.04693,1,1
0.046934,1,1
0.046944,1,1
0.046981,1,1
0.046988,1,1
0.047025,1,1
0.047041,1,1
0.047042,1,1
0.047045,1,1
0.047216,1,1
0.047368,1,1
0.047373,1,1
0.047414,1,1
0.047437,1,1
0.047452,1,1
0.047555,1,1
0.047655,1,1
0.047659,1,1
0.047683,1,1
0.047693,1,1
0.047698,1,1
0.047736,1,1
0.047793,1,1
0.047922,1,1
0.047989,1,1
0.048035,1,1
0.048089,1,1
0.048097,1,1
0.048121,1,1
0.048237,1,1
0.048306,1,1
0.048326,1,1
0.048336,1,1
0.048352,1,1
0.048357,1,1
0.04842,1,1
0.048439,1,1
0.048539,1,1
0.048541,1,1
0.048564,1,1
0.048648,1,1
0.048729,1,1
0.048755,1,1
0.04881,1,1
0.048812,1,1
0.048814,1,1
0.048912,1,1
0.048915,1,1
0.04898,1,1
0.049175,1,1
0.049234,1,1
0.049307,1,1
0.049323,1,1
0.04934,1,1
0.049421,1,1
0.049426,1,1
0.049478,1,1
0.049552,1,1
0.049658,1,1
0.049712,1,1
0.049853,1,1
0.049923,1,1
0.049979,1,1
0.049991,1,1
0.050048,1,1
0.050071,1,1
0.050077,1,1
0.050218,1,1
0.050294,1,1
0.050388,1,1
0.050444,1,1
0.050448,1,1
0.050454,1,1
0.050468,1,1
0.050489,1,1
0.050503,1,1
0.050558,1,1
0.050581,1,1
0.05059,1,1
0.050639,1,1
0.05066,1,1
0.050669,1,1
0.050871,1,1
0.050937,1,1
0.050976,1,1
0.051097,1,1
0.051141,1,1
0.051171,1,1
0.051201,1,1
0.051203,1,1
0.051209,1,1
0.051256,1,1
0.051265,1,1
0.051283,1,1
0.051327,1,1
0.051385,1,1
0.051537,1,1
0.051564,1,1
0.051566,1,1
0.051667,1,1
0.051687,1,1
0.051714,1,1
0.05179,1,1
0.051798,1,1
0.051843,1,1
0.05186,1,1
0.051864,1,1
0.051872,1,1
0.051926,1,1
0.051947,1,1
0.052083,1,1
0.052098,1,1
0.052104,1,1
0.052128,1,1
0.052136,1,1
0.052199,1,1
0.052201,1,1
0.0523,1,1
0.052309,1,1
0.052324,2,1
0.052327,1,1
0.05239,1,1
0.052415,1,1
0.052489,1,1
0.052509,1,1
0.052591,1,1
0.052596,1,1
0.052706,1,1
0.052794,1,1
0.05287,1,1
0.052984,1,1
0.053057,1,1
0.05314,1,1
0.05315,1,1
0.05325,1,1
0.053266,1,1
0.053362,1,1
0.053435,1,1
0.053447,1,1
0.053476,1,1
0.053515,1,1
0.053565,1,1
0.053576,1,1
0.05361,1,1
0.053641,1,1
0.053696,1,1
0.053744,1,1
0.053834,1,1
0.053852,1,1
0.053885,1,1
0.053954,1,1
0.053973,1,1
0.053993,1,1
0.053999,1,1
0.054051,1,1
0.054191,1,1
0.054262,1,1
0.054264,1,1
0.054278,1,1
0.054384,1,1
0.0544,1,1
0.05449,1,1
0.054491,1,1
0.054508,1,1
0.054591,1,1
0.054676,1,1
0.054698,1,1
0.054702,1,1
0.054756,2,1
0.054785,1,1
0.05481,1,1
0.054849,1,1
0.054872,1,1
0.054903,1,1
0.055058,1,1
0.055103,1,1
0.055255,1,1
0.055268,1,1
0.055283,1,1
0.055308,1,1
0.055402,1,1
0.05541,1,1
0.055443,1,1
0.055454,1,1
0.055478,1,1
0.05552,1,1
0.055552,1,1
0.055559,1,1
0.055609,1,1
0.055669,1,1
0.055712,1,1
0.055756,1,1
0.055843,1,1
0.05597,1,1
0.055981,1,1
0.055997,1,1
0.056,1,1
0.056046,1,1
0.056208,1,1
0.056211,1,1
0.056268,1,1
0.056276,1,1
0.056302,1,1
0.056305,1,1
0.05647,1,1
0.056475,1,1
0.056491,1,1
0.056517,1,1
0.056671,1,1
0.056673,1,1
0.056684,1,1
0.056692,1,1
0.05673,1,1
0.056765,1,1
0.056836,1,1
0.056851,1,1
0.056914,1,1
0.056928,1,1
0.056985,1,1
0.057009,1,1
0.05702,1,1
0.057105,1,1
0.057147,1,1
0.057165,1,1
0.057224,1,1
0.057238,1,1
0.05736,1,1
0.057378,1,1
0.057385,1,1
0.057408,1,1
0.057487,1,1
0.057532,1,1
0.057544,1,1
0.057545,1,1
0.057567,1,1
0.057633,1,1
0.05769,1,1
0.057701,1,1
0.057759,1,1
0.057816,1,1
0.057868,1,1
0.057895,1,1
0.057913,1,1
0.058071,1,1
0.05811,1,1
0.058207,1,1
