key,policy,scan,scan_ns,pid,baseline_raw,candidate_raw,delta_d,delta_y,delta_v,aLead,reason
00000247--b657952782--27,P2,298,1720833086470,1000435,416,409,-2.22119140625,0.03125,-0.25,0.3463557960015641,P2_CAUSAL_PINGPONG
00000247--b657952782--27,P2,309,1721933110993,1000435,416,409,-1.7708473205566406,-0.09375,0.25,-0.35133386385183885,P2_CAUSAL_PINGPONG
00000247--b657952782--27,P2,309,1721933110993,1000458,427,450,-2.0,-0.125,0.0,-0.12959651796911587,P2_CAUSAL_PINGPONG
00000247--b657952782--29,P2,229,1833922370193,1000173,170,172,0.2747354507446289,0.125,0.25,-0.364756847380868,P2_CAUSAL_PINGPONG
00000247--b657952782--29,P2,258,1836822875391,1000192,190,189,-1.0,-0.03125,0.0,-0.10934317401553123,P2_CAUSAL_PINGPONG
00000247--b657952782--3,P2,50,256033248982,1000040,41,71,-0.5,0.875,0.0,0.5982482537644354,P2_CAUSAL_PINGPONG
00000247--b657952782--3,P2,52,256232546392,1000040,41,71,-0.5,0.84375,0.0,0.5012066389058761,P2_CAUSAL_PINGPONG
00000247--b657952782--3,P2,54,256433355618,1000040,71,41,0.5,-0.84375,0.0,0.44202655164129834,P2_CAUSAL_PINGPONG
00000247--b657952782--3,P2,55,256532433117,1000040,71,41,0.5,-0.84375,0.0,0.265215930984779,P2_CAUSAL_PINGPONG
00000247--b657952782--3,P2,58,256835122799,1000040,71,41,0.5,-0.84375,0.0,-0.2359091328906032,P2_CAUSAL_PINGPONG
00000247--b657952782--3,P2,59,256933274693,1000040,71,41,0.494384765625,-0.90625,-0.25,0.23206233337534113,P2_CAUSAL_PINGPONG
00000247--b657952782--30,P2,569,1928012895852,1000432,430,437,1.25,0.03125,0.0,0.5181671420704639,P2_CAUSAL_PINGPONG
00000247--b657952782--32,P2,341,2025202763683,1000360,382,356,2.0,0.09375,0.0,0.15731538115059918,P2_CAUSAL_PINGPONG
