case,route,segment,scan_s,scan_ns,raw_slot,raw_track_id,physical_pid,public_id,d_rel_m,y_rel_m,v_rel_mps,members,representative,camera_assoc,oem_word1,published,state,prior_gt
R264_S6_SPLIT,route264,6,4.500091,437461974965,19|26,9|25,1000000,32,4.75,0.0,-0.25,9|25,9,1,0,1,OBSERVED_QUALIFIED,SAME_SURFACE_FRAGMENT
R264_S6_SPLIT,route264,6,4.500091,437461974965,0,1,1000037,69,2.5,0.0,-0.25,1,1,1,1,1,OBSERVED_QUALIFIED,SAME_SURFACE_FRAGMENT
R264_S6_SPLIT,route264,6,4.599873,437561756519,19|26,9|25,1000000,32,4.75,0.0,-0.25,9|25,9,1,0,1,OBSERVED_QUALIFIED,SAME_SURFACE_FRAGMENT
R264_S6_SPLIT,route264,6,4.599873,437561756519,0,1,1000037,69,2.5,0.0,-0.25,1,1,1,1,1,OBSERVED_QUALIFIED,SAME_SURFACE_FRAGMENT
R264_S6_SPLIT,route264,6,4.699093,437660976324,19|26,9|25,1000000,32,4.75,0.0,0.0,9|25,9,1,0,1,OBSERVED_QUALIFIED,SAME_SURFACE_FRAGMENT
R264_S6_SPLIT,route264,6,4.699093,437660976324,0,1,1000037,69,2.25,0.125,-0.25,1,1,1,1,1,OBSERVED_QUALIFIED,SAME_SURFACE_FRAGMENT
R264_S6_SPLIT,route264,6,4.799879,437761762543,19|26,9|25,1000000,32,4.75,-0.03125,0.0,9|25,9,1,0,1,OBSERVED_QUALIFIED,SAME_SURFACE_FRAGMENT
R264_S6_SPLIT,route264,6,4.799879,437761762543,0|12,1|32,1000037,69,2.25,0.15625,-0.25,1|32,1,1,1,1,OBSERVED_QUALIFIED,SAME_SURFACE_FRAGMENT
R264_S6_SPLIT,route264,6,4.900118,437862001458,19|26,9|25,1000000,32,4.75,-0.03125,0.0,9|25,9,1,0,1,OBSERVED_QUALIFIED,SAME_SURFACE_FRAGMENT
R264_S6_SPLIT,route264,6,4.900118,437862001458,0|12,1|32,1000037,69,2.25,0.1875,0.0,1|32,1,1,1,1,OBSERVED_QUALIFIED,SAME_SURFACE_FRAGMENT
R264_S6_SPLIT,route264,6,4.99979,437961674144,19|26,9|25,1000000,32,4.75,-0.03125,0.0,9|25,9,1,0,1,OBSERVED_QUALIFIED,SAME_SURFACE_FRAGMENT
R264_S6_SPLIT,route264,6,4.99979,437961674144,0|12,1|32,1000037,69,2.25,0.21875,0.0,1|32,1,1,1,1,OBSERVED_QUALIFIED,SAME_SURFACE_FRAGMENT
R264_S6_SPLIT,route264,6,5.099933,438061816992,19|26,9|25,1000000,32,4.75,-0.03125,0.0,9|25,9,1,0,1,OBSERVED_QUALIFIED,SAME_SURFACE_FRAGMENT
R264_S6_SPLIT,route264,6,5.099933,438061816992,0|12,1|32,1000037,69,2.25,0.21875,0.0,1|32,1,1,1,1,OBSERVED_QUALIFIED,SAME_SURFACE_FRAGMENT
R264_S6_SPLIT,route264,6,5.199666,438161549744,19|26,9|25,1000000,32,4.75,-0.03125,0.0,9|25,9,1,0,1,OBSERVED_QUALIFIED,SAME_SURFACE_FRAGMENT
R264_S6_SPLIT,route264,6,5.199666,438161549744,0|12,1|32,1000037,69,2.25,0.3125,0.0,1|32,1,1,1,1,OBSERVED_QUALIFIED,SAME_SURFACE_FRAGMENT
R264_S6_SPLIT,route264,6,5.299726,438261609812,17|26,9|25,1000000,32,5.75,-0.03125,0.0,9|25,9,1,0,0,OBSERVED_QUALIFIED,SAME_SURFACE_FRAGMENT
