segment_s,scan_ns,slot,raw_id,physical_pid,public_id,d_rel_m,y_rel_m,v_rel_mps,members,representative,camera,oem,published
30.485645,6852388845620,21,1570,1001709,62,45.25,3.40625,-30.0,1570,1570,0,0,1
30.485645,6852388845620,25,1571,1001710,36,70.25,9.1875,-5.0,1571,1571,0,0,1
30.485645,6852388845620,24,1572,1001711,75,123.25,1.0625,-29.75,1572,1572,0,0,1
30.485645,6852388845620,26,1573,1001712,72,45.25,-10.1875,-30.25,1573,1573,0,0,1
30.58651,6852489710522,9,10,1000009,41,79.75,-0.96875,-0.25,10,10,0,1,1
30.58651,6852489710522,16,1366,1001490,34,61.75,-3.625,-5.0,1366,1366,0,0,1
30.58651,6852489710522,10,1545,1001684,54,13.75,-3.21875,-5.75,1545,1545,0,0,1
30.58651,6852489710522,22,1549,1001688,59,102.25,-2.4375,-1.25,1549,1549,0,0,1
30.58651,6852489710522,30,1558,1001697,63,62.5,2.5625,-30.0,1558,1558,0,0,1
30.58651,6852489710522,8|14,1560|1562,1001699,92,15.0,3.4375,-29.25,1560|1562,1560,0,0,1
30.58651,6852489710522,17,1566,1001705,90,18.5,3.625,-29.75,1566,1566,0,0,1
30.58651,6852489710522,20,1569,1001708,89,114.0,0.4375,-30.0,1569,1569,0,0,1
30.58651,6852489710522,21,1570,1001709,62,42.0,3.1875,-30.0,1570,1570,0,0,1
30.58651,6852489710522,24,1572,1001711,75,120.0,1.34375,-30.0,1572,1572,0,0,1
30.58651,6852489710522,26,1573,1001712,72,42.0,-10.09375,-30.25,1573,1573,0,0,1
30.58651,6852489710522,27,1574,1001713,44,42.0,4.25,-30.0,1574,1574,0,0,1
30.687187,6852590387146,9,10,1000009,41,79.75,-0.90625,-0.25,10,10,0,1,1
30.687187,6852590387146,16,1366,1001490,34,61.25,-3.4375,-5.0,1366,1366,0,0,1
30.687187,6852590387146,10,1545,1001684,54,13.25,-3.25,-6.25,1545,1545,0,0,1
30.687187,6852590387146,22,1549,1001688,59,102.25,-2.40625,-1.25,1549,1549,0,0,1
30.687187,6852590387146,30,1558,1001697,63,59.75,2.65625,-30.0,1558,1558,0,0,1
30.687187,6852590387146,8|14,1560|1562,1001699,92,12.25,3.46875,-29.25,1560|1562,1560,0,0,1
30.687187,6852590387146,17,1566,1001705,90,15.75,3.65625,-29.75,1566,1566,0,0,1
30.687187,6852590387146,20,1569,1001708,89,111.25,0.28125,-30.0,1569,1569,0,0,1
30.687187,6852590387146,21,1570,1001709,62,39.25,3.21875,-30.0,1570,1570,0,0,1
30.687187,6852590387146,28,1571,1001710,36,69.5,9.59375,-5.0,1571,1571,0,0,1
30.687187,6852590387146,24,1572,1001711,75,117.25,1.375,-30.0,1572,1572,0,0,1
30.785815,6852689015664,9,10,1000009,41,79.75,-0.9375,-0.25,10,10,0,1,1
30.785815,6852689015664,16,1366,1001490,34,60.75,-3.375,-5.0,1366,1366,0,0,1
30.785815,6852689015664,10,1545,1001684,54,12.75,-3.1875,-6.0,1545,1545,0,0,1
30.785815,6852689015664,22,1549,1001688,59,102.0,-2.59375,-1.25,1549,1549,0,0,1
30.785815,6852689015664,30,1558,1001697,63,56.75,2.71875,-30.0,1558,1558,0,0,1
30.785815,6852689015664,8|14,1560|1562,1001699,92,9.25,3.40625,-29.5,1560|1562,1560,0,0,1
30.785815,6852689015664,17,1566,1001705,90,12.75,3.65625,-29.75,1566,1566,0,0,1
30.785815,6852689015664,20,1569,1001708,89,108.5,0.53125,-30.0,1569,1569,1,0,1
30.785815,6852689015664,21,1570,1001709,62,36.25,3.25,-30.0,1570,1570,0,0,1
30.785815,6852689015664,24,1572,1001711,75,114.25,1.4375,-30.0,1572,1572,0,0,1
30.885824,6852789024647,9,10,1000009,41,79.5,-0.75,-0.5,10,10,0,1,1
30.885824,6852789024647,16,1366,1001490,34,60.5,-3.5625,-5.0,1366,1366,0,0,1
30.885824,6852789024647,10,1545,1001684,54,12.25,-3.1875,-6.0,1545,1545,0,0,1
30.885824,6852789024647,22,1549,1001688,59,102.0,-2.5,-1.25,1549,1549,0,0,1
30.885824,6852789024647,30,1558,1001697,63,54.0,2.78125,-30.0,1558,1558,0,0,1
30.885824,6852789024647,14,1560,1001699,92,5.75,3.34375,-29.25,1560,1560,0,0,1
30.885824,6852789024647,17,1566,1001705,90,10.25,3.65625,-30.0,1566,1566,0,0,1
30.885824,6852789024647,20,1569,1001708,89,105.75,0.75,-30.0,1569,1569,1,0,1
30.885824,6852789024647,29,1571,1001710,36,69.0,10.0,-5.25,1571,1571,0,0,1
30.885824,6852789024647,24,1572,1001711,75,111.75,1.34375,-30.0,1572,1572,0,0,1
30.985791,6852888991779,9,10,1000009,41,79.5,-0.875,-0.5,10,10,0,1,1
30.985791,6852888991779,16,1366,1001490,34,59.75,-3.34375,-5.0,1366,1366,0,0,1
30.985791,6852888991779,10,1545,1001684,54,11.5,-3.09375,-6.0,1545,1545,0,0,1
30.985791,6852888991779,22,1549,1001688,59,101.75,-2.375,-1.25,1549,1549,0,0,1
30.985791,6852888991779,30,1558,1001697,63,50.25,2.8125,-30.0,1558,1558,0,0,1
30.985791,6852888991779,17,1566,1001705,90,6.5,3.6875,-30.0,1566,1566,0,0,1
30.985791,6852888991779,20,1569,1001708,89,102.0,0.96875,-30.0,1569,1569,1,0,1
30.985791,6852888991779,24,1572,1001711,75,108.0,1.5625,-30.25,1572,1572,0,0,1
30.985791,6852888991779,0,1575,1001714,81,68.5,-1.40625,-5.0,1575,1575,0,0,1
30.985791,6852888991779,31,1576,1001715,32,85.25,2.78125,-30.0,1576,1576,0,0,1
31.086366,6852989566585,9,10,1000009,41,79.5,-0.78125,-0.5,10,10,0,1,1
31.086366,6852989566585,16,1366,1001490,34,58.75,-3.15625,-5.0,1366,1366,0,0,1
31.086366,6852989566585,10,1545,1001684,54,10.5,-3.0,-6.0,1545,1545,0,0,1
31.086366,6852989566585,22,1549,1001688,59,101.5,-2.125,-1.25,1549,1549,0,0,1
31.086366,6852989566585,30,1558,1001697,63,45.25,2.96875,-30.0,1558,1558,0,0,1
31.086366,6852989566585,20,1569,1001708,89,96.75,1.65625,-30.0,1569,1569,0,0,1
31.086366,6852989566585,24,1572,1001711,75,102.75,1.875,-30.25,1572,1572,0,0,1
31.086366,6852989566585,0,1575,1001714,81,67.0,-1.53125,-5.25,1575,1575,0,0,0
31.086366,6852989566585,1,1576,1001715,32,79.5,2.875,-30.25,1576,1576,0,0,1
31.18615,6853089350175,9,10,1000009,41,79.5,-0.78125,-0.5,10,10,0,1,1
31.18615,6853089350175,16,1366,1001490,34,58.75,-3.15625,-5.0,1366,1366,0,0,1
31.18615,6853089350175,10,1545,1001684,54,10.5,-3.0,-6.0,1545,1545,0,0,1
31.18615,6853089350175,22,1549,1001688,59,101.5,-2.125,-1.25,1549,1549,0,0,1
31.18615,6853089350175,30,1558,1001697,63,45.25,2.96875,-30.0,1558,1558,0,0,1
31.18615,6853089350175,20,1569,1001708,89,96.75,1.65625,-30.0,1569,1569,0,0,1
31.18615,6853089350175,24,1572,1001711,75,102.75,1.875,-30.25,1572,1572,0,0,1
31.18615,6853089350175,0,1575,1001714,81,67.0,-1.53125,-5.25,1575,1575,0,0,0
31.18615,6853089350175,1,1576,1001715,32,79.5,2.875,-30.25,1576,1576,0,0,1
31.286059,6853189259111,9,10,1000009,41,79.5,-0.8125,-0.75,10,10,0,1,1
31.286059,6853189259111,16,1366,1001490,34,58.0,-3.125,-5.25,1366,1366,0,0,1
31.286059,6853189259111,10,1545,1001684,54,9.5,-3.0,-6.0,1545,1545,0,0,1
31.286059,6853189259111,22,1549,1001688,59,101.25,-2.28125,-1.5,1549,1549,0,0,1
31.286059,6853189259111,30,1558,1001697,63,39.75,3.03125,-30.25,1558,1558,0,0,1
31.286059,6853189259111,2,1569,1001708,89,93.5,1.0625,-30.0,1569,1569,1,0,1
31.286059,6853189259111,3,1572,1001711,75,98.5,1.6875,-30.5,1572,1572,0,0,1
31.286059,6853189259111,1,1576,1001715,32,74.0,2.75,-30.25,1576,1576,0,0,1
31.286059,6853189259111,20,1577,1001716,66,91.25,2.15625,-30.25,1577,1577,0,0,1
31.286059,6853189259111,24,1578,1001717,94,97.25,1.875,-30.25,1578,1578,0,0,1
31.386223,6853289423266,9,10,1000009,41,79.5,-0.40625,-0.5,10,10,0,1,1
31.386223,6853289423266,16,1366,1001490,34,57.5,-3.09375,-5.25,1366,1366,0,0,1
31.386223,6853289423266,10,1545,1001684,54,9.25,-3.0,-6.0,1545,1545,0,0,1
31.386223,6853289423266,22,1549,1001688,59,101.0,-2.59375,-1.75,1549,1549,0,0,1
31.386223,6853289423266,30,1558,1001697,63,37.25,3.0,-30.25,1558,1558,0,0,1
31.386223,6853289423266,2,1569,1001708,89,91.0,1.1875,-30.0,1569,1569,1,0,1
31.386223,6853289423266,3,1572,1001711,75,96.25,1.875,-30.25,1572,1572,0,0,1
31.386223,6853289423266,1,1576,1001715,32,71.75,2.71875,-30.25,1576,1576,0,0,1
31.386223,6853289423266,20,1577,1001716,66,89.0,2.28125,-30.25,1577,1577,0,0,1
31.386223,6853289423266,24,1578,1001717,94,95.0,1.90625,-30.25,1578,1578,0,0,1
31.386223,6853289423266,4,1579,1001718,68,106.75,1.9375,-30.25,1579,1579,0,0,1
31.486518,6853389718535,9,10,1000009,41,79.25,-0.6875,-0.5,10,10,0,1,1
31.486518,6853389718535,16,1366,1001490,34,57.0,-3.15625,-5.25,1366,1366,1,0,1
31.486518,6853389718535,10,1545,1001684,54,8.75,-3.21875,-6.0,1545,1545,0,0,1
31.486518,6853389718535,22,1549,1001688,59,101.0,-2.59375,-1.75,1549,1549,0,0,1
31.486518,6853389718535,30,1558,1001697,63,34.25,3.125,-30.25,1558,1558,0,0,1
