key,policy,scan,scan_ns,effect,baseline_lead1,candidate_lead1,baseline_lead2,candidate_lead2
00000252--d191bee66c--1,E,334,167747840806,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,335,167848188256,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,336,167948570855,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,337,168048589522,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,338,168148695774,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,339,168248545445,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,340,168348713638,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,341,168447837152,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,342,168548082722,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,343,168647987738,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,344,168747944931,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,345,168848246791,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,346,168950400187,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,347,169049426275,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,348,169148214652,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,349,169247898804,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,350,169348530186,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,351,169448536541,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,352,169548880692,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,353,169647852833,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,354,169748302118,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,355,169848066648,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,356,169948110756,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,357,170047981670,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,358,170148106803,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,359,170248221602,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,360,170348801009,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,361,170448465600,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,362,170549390667,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,363,170649360769,LEAD_ID_CHANGED,87,36,-1,-1
