event_id,key,scan,scan_ns,pid,category,old_members,new_members,old_representative,new_representative,old_rep_still_member,required_change,delta_d,delta_y,delta_v,abs_delta_d,abs_delta_y,abs_delta_v,old_published,new_published,old_alias,new_alias,publication_effect,publication_delta_d,publication_delta_y,publication_delta_v,publication_delta_aLead,radarstate_effect,radarstate_affected,score_delta,old_cost,new_cost,best_vision,old_vision,best_oem,old_oem,support_superiority,group_size_before,group_size_after,old_d,old_y,old_v,old_age,new_d,new_y,new_v,new_age,old_aRel,new_aRel,old_member_current_d,old_member_current_y,old_member_current_v,old_member_current_age,old_member_current_slot,old_member_current_measurement_ns,new_member_current_d,new_member_current_y,new_member_current_v,new_member_current_age,new_member_current_slot,new_member_current_measurement_ns,old_published_aLead,new_published_aLead,lead_role_before,lead_role_after,previous_rep_dwell_scans,previous_rep_dwell_s
00000283--b395338ef9--47:110:1000003,00000283--b395338ef9--47,110,3716718040840,1000003,R2_MEMBER_DISAPPEAR_REP_CHANGE,4|5|8,5|8,4,8,0,1,-0.5,-0.125,0.75,0.5,0.125,0.75,1,1,35,35,P2_PUBLISHED_COORDINATE_CHANGE,0.24870753288269043,-0.0625,0.0,1.2000000000000002,A_LEAD_CHANGED,1,,,0.9376004086435922,1,0,1,0,1,3,2,3.25,0.125,0.0,110,2.75,0.0,0.75,111,N/A_NAN,N/A_NAN,,,,,,,2.75,0.0,0.75,111,17,3716718040840,0.0,1.2000000000000002,lead_one,lead_one,110,10.90141685
00000283--b395338ef9--48:170:1000242,00000283--b395338ef9--48,170,3782736825042,1000242,R2_MEMBER_DISAPPEAR_REP_CHANGE,184|187|209,184|187,209,187,0,1,-0.25,0.59375,0.0,0.25,0.59375,0.0,1,1,77,77,P2_PUBLISHED_COORDINATE_CHANGE,-0.25,0.59375,0.0,0.0,LEAD_COORDINATE_ONLY,1,,,0.5462829825087916,1,0,0,0,1,3,2,5.0,0.0,0.0,3,4.75,0.59375,0.0,4,N/A_NAN,N/A_NAN,,,,,,,4.75,0.59375,0.0,26,15,3782736825042,0.0,0.0,lead_one,lead_one,3,0.200566986
00000283--b395338ef9--48:242:1000242,00000283--b395338ef9--48,242,3789936905987,1000242,R4_GROUP_SPLIT_REP_CHANGE,168|184|187,168|184,187,168,0,1,-1.0,-0.875,0.0,1.0,0.875,0.0,1,1,77,77,P2_PUBLISHED_COORDINATE_CHANGE,-1.0,-0.875,0.0,0.0,LEAD_COORDINATE_ONLY,1,,,1.437653999319724,0,0,0,0,0,3,2,4.5,0.9375,0.0,75,3.5,0.0625,0.0,76,N/A_NAN,N/A_NAN,,,,,,,3.5,0.0625,0.0,113,18,3789936905987,0.0,0.0,lead_one,lead_one,72,7.099291666
00000283--b395338ef9--48:263:1000242,00000283--b395338ef9--48,263,3792037105412,1000242,R2_MEMBER_DISAPPEAR_REP_CHANGE,168|184|187,184|187,168,184,0,1,-0.75,-0.34375,0.0,0.75,0.34375,0.0,1,1,77,77,P2_PUBLISHED_COORDINATE_CHANGE,-0.75,-0.34375,0.0,0.0,LEAD_COORDINATE_ONLY,1,,,0.9217595364534936,0,0,0,0,0,3,2,3.25,0.09375,0.0,96,2.5,-0.25,0.0,97,N/A_NAN,N/A_NAN,,,,,,,2.5,-0.25,0.0,121,8,3792037105412,0.0,0.0,lead_one,lead_one,21,2.000012216
00000283--b395338ef9--48:299:1000242,00000283--b395338ef9--48,299,3795636124849,1000242,R2_MEMBER_DISAPPEAR_REP_CHANGE,184|187,187,184,187,0,1,1.0,0.03125,0.0,1.0,0.03125,0.0,1,1,77,77,P2_PUBLISHED_COORDINATE_CHANGE,0.9952917098999023,0.03125,0.0,0.09982076490178843,A_LEAD_CHANGED,1,,,,0,0,0,0,0,2,1,1.5,0.3125,-1.25,132,2.5,0.34375,-1.25,133,N/A_NAN,N/A_NAN,,,,,,,2.5,0.34375,-1.25,155,15,3795636124849,-0.24955191225447104,-0.14973114735268261,lead_one,lead_one,36,3.5002026170000002
00000285--27dca1de75--2:287:1000272,00000285--27dca1de75--2,287,316791757834,1000272,R2_MEMBER_DISAPPEAR_REP_CHANGE,252|369,369,252,369,0,1,-0.75,0.46875,0.0,0.75,0.46875,0.0,1,1,38,38,P2_PUBLISHED_COORDINATE_CHANGE,0.006393909454345703,-0.09375,0.25,-0.06321641852031235,A_LEAD_CHANGED,1,,,,0,0,0,0,0,2,1,7.5,-0.46875,0.5,142,6.75,0.0,0.5,143,N/A_NAN,N/A_NAN,,,,,,,6.75,0.0,0.5,50,31,316791757834,0.294718837380037,0.23150241885972467,lead_one,lead_one,142,14.098883304000001
00000285--27dca1de75--30:357:1000357,00000285--27dca1de75--30,357,2003811574982,1000357,R2_MEMBER_DISAPPEAR_REP_CHANGE,307|318,318,307,318,0,1,2.75,1.5,0.5,2.75,1.5,0.5,1,1,59,59,P2_PUBLISHED_COORDINATE_CHANGE,2.75765061378479,1.5,0.5,0.7393385867412869,LEAD_LOSS,1,,,,0,0,0,0,0,2,1,2.25,0.0,-0.5,25,5.0,1.5,0.0,26,N/A_NAN,N/A_NAN,,,,,,,5.0,1.5,0.0,21,4,2003811574982,-0.04877024232489679,0.6905683444163901,lead_one,,25,2.4021290140000002
00000285--27dca1de75--31:418:1000526,00000285--27dca1de75--31,418,2070023259141,1000526,R2_MEMBER_DISAPPEAR_REP_CHANGE,462|472,472,462,472,0,1,0.5,-0.34375,0.25,0.5,0.34375,0.25,1,1,38,38,P2_PUBLISHED_COORDINATE_CHANGE,0.5053615570068359,-0.34375,0.25,0.5843581736948673,A_LEAD_CHANGED,1,,,,0,0,0,0,0,2,1,25.25,-1.65625,0.0,28,25.75,-2.0,0.25,29,N/A_NAN,N/A_NAN,,,,,,,25.75,-2.0,0.25,20,3,2070013539490,0.027255739511442046,0.6116139132063093,lead_one,lead_one,28,2.700349436
0000028b--ca855432c0--24:232:1000001,0000028b--ca855432c0--24,232,1534041567332,1000001,R2_MEMBER_DISAPPEAR_REP_CHANGE,2|119,119,2,119,0,1,0.0,0.1875,0.0,0.0,0.1875,0.0,1,1,33,33,P2_PUBLISHED_COORDINATE_CHANGE,0.000858306884765625,0.1875,0.0,-0.02025301073445944,A_LEAD_CHANGED,1,,,,0,0,0,0,0,2,1,63.25,0.28125,1.5,232,63.25,0.46875,1.5,233,N/A_NAN,N/A_NAN,,,,,,,63.25,0.46875,1.5,114,15,1534041567332,0.004305090552757126,-0.015947920181702314,lead_one,lead_one,232,23.070461046000002
00000294--307ed6c5e3--1:79:1000045,00000294--307ed6c5e3--1,79,176334574654,1000045,R4_GROUP_SPLIT_REP_CHANGE,55|58|91,58|91,55,91,0,1,-0.25,0.46875,0.25,0.25,0.46875,0.25,1,1,77,77,P2_PUBLISHED_COORDINATE_CHANGE,-0.26174163818359375,0.46875,0.25,0.29308478181007125,A_LEAD_CHANGED,1,,,1.4734992993391656,1,0,0,0,1,3,2,58.75,-2.53125,-14.0,56,58.5,-2.0625,-13.75,57,N/A_NAN,N/A_NAN,,,,,,,58.5,-2.0625,-13.75,7,4,176334574654,-0.2542467369341986,0.03883804487587267,lead_one,lead_one,36,3.5000361960000004
